person_id,first_name,last_name,party_id,sitting_member,current_seat_id,contesting,contesting_seat_id,gender
2,Michael,Sukkar,2,Yes,2,Yes,2,Male
3,Matthew,Gregg,3,No,,Yes,2,Male
4,Steve,Georganas,3,Yes,3,Yes,3,Male
5,Amy,Grantham,2,No,,Yes,3,Female
6,Mary,Doyle,3,Yes,4,Yes,4,Female
7,Manny,Cicchiello,3,No,,Yes,4,Male
8,Catherine,King,3,Yes,5,Yes,5,Female
9,David,Coleman,2,Yes,6,Yes,6,Male
10,Tony,Pasin,2,Yes,7,Yes,7,Male
11,Cody,Scholes,4,No,,Yes,7,Male
12,Linda,Burney,3,Yes,8,No,,Female
13,Ashvini,Ambihaipahar,3,No,,Yes,8,Female
14,Fiona,Douskou,2,No,,Yes,8,Female
15,Bridget,Archer,2,Yes,9,Yes,9,Female
16,David,Smith,3,Yes,10,Yes,10,Male
17,David,Lamberton,2,No,,Yes,10,Male
18,Jessie,Price,5,No,,Yes,10,Female
19,Lisa,Chesters,3,Yes,11,Yes,11,Female
20,Matthew,Evans,2,No,,Yes,11,Male
21,Andrew,Lethlean,6,No,,Yes,11,Male
22,Evelyn,Keetelaar,7,No,,Yes,11,Male
23,Jerome,Laxale,3,Yes,12,Yes,12,Male
24,Scott,Yng,2,No,,Yes,12,Male
25,Julian,Leeser,2,Yes,13,Yes,13,Male
26,Tina,Brown,5,No,,Yes,13,Female
27,Shayne,Neumann,3,Yes,14,Yes,14,Male
28,Carl,Mutzelburg,8,No,,Yes,14,Male
29,John,Purdon,7,No,,Yes,14,Male
30,Jason,Clare,3,Yes,15,Yes,15,Male
31,Omar,Sakr,9,No,,Yes,15,Male
32,Ross,Vasta,8,Yes,16,Yes,16,Male
33,Kara,Cook,3,No,,Yes,16,Female
34,Elizabeth,Lewis,10,No,,Yes,16,Female
35,Louise,Miller-Frost,3,Yes,18,Yes,18,Female
36,Nicolle,Flint,2,No,,Yes,18,Female
37,Henry,Pike,8,Yes,18,Yes,18,Male
38,Karen,Kloherty,7,No,,Yes,18,Female
39,Gavin,Pearce,2,Yes,19,No,,Male
40,Mal,Hingston,2,No,,Yes,19,Male
41,Anne,Urquhart,3,No,,Yes,19,Female
42,Erin,Morrow,9,No,,Yes,19,Female
43,Adam,Martin,10,No,,Yes,19,Male
44,Paul,Fletcher,2,Yes,20,No,,Male
45,Gisele,Kapterian,2,No,,Yes,20,Female
46,Nicolette,Boelle,5,No,,Yes,20,Female
47,Madeleine,King,3,Yes,21,Yes,21,Female
48,Claire,Moody,2,No,,Yes,21,Female
49,Stephen,Bates,9,Yes,22,Yes,22,Male
50,Trevor,Evans,8,No,,Yes,22,Male
51,Madonna,Jarrett,3,No,,Yes,22,Female
52,Julian,Hill,3,Yes,23,Yes,23,Male
53,Zahid,Safi,2,No,,Yes,23,Male
54,Rhona,Garad,9,No,,Yes,23,Female
55,Bianca,Colecchia,4,No,,Yes,23,Female
56,Trish,Cook,3,No,,Yes,24,Female
57,Matt,Moran,2,No,,Yes,24,Male
58,Mia,Davies,6,No,,Yes,24,Female
59,Matt,Keogh,3,Yes,25,Yes,25,Male
60,Sean,Ayres,2,No,,Yes,25,Male
61,Andrew,Gee,10,Yes,26,Yes,26,Male
62,Sam,Farraway,6,No,,Yes,26,Male
63,Kate,Hook,5,No,,Yes,26,Female
64,Maria,Bengtsson,7,No,,Yes,26,Female
65,Maria,Vamvakinou,3,Yes,27,No,,Female
66,Basem,Abdo,3,No,,Yes,27,Male
67,Usman,Ghani,2,No,,Yes,27,Male
68,Samim,Moslih,10,No,,Yes,27,Male
69,Mohamed,El-Masri,9,No,,Yes,27,Male
70,Alicia,Payne,3,Yes,28,Yes,28,Female
71,Isabel,Mudford,9,No,,Yes,28,Female
72,Andrew,Hastie,2,Yes,29,Yes,29,Male
73,Jarrad,Goold,3,No,,Yes,29,Male
74,Michelle,Landry,8,Yes,30,Yes,30,Female
75,Emily,Mawson,3,No,,Yes,30,Female
76,Cheryl,Kempton,4,No,,Yes,30,Female
77,Aaron,Violi,2,Yes,31,Yes,31,Male
78,Claire,Ferres Miles,5,No,,Yes,31,Female
79,Merran,Blair,9,No,,Yes,31,Female
80,Bill,Brindle,3,No,,Yes,31,Male
81,Ed,Husic,3,Yes,32,Yes,32,Male
82,Carina,Garland,3,Yes,33,Yes,33,Female
83,Katie,Allen,2,No,,Yes,33,Female
84,Andrew,Wilkie,10,Yes,34,Yes,34,Male
85,Marilena,Di Florio,2,No,,Yes,34,Female
86,Janet,Shelley,9,No,,Yes,34,Female
87,Simon,Kennedy,2,Yes,35,Yes,35,Male
88,Ged,Kearney,3,Yes,36,Yes,36,Female
89,Tara,Burnett,9,No,,Yes,36,Female
90,Libby,Coker,3,Yes,37,Yes,37,Female
91,Darcy,Dunstan,2,No,,Yes,37,Male
92,Richard,Marles,3,Yes,38,Yes,38,Male
93,Anne,Aly,3,Yes,39,Yes,39,Female
94,Felicia,Adeniyi,2,No,,Yes,39,Female
95,Pat,Conaghan,6,Yes,40,Yes,40,Male
96,Caz,Heise,5,No,,Yes,40,Female
97,Peter,Jackel,7,No,,Yes,40,Male
98,Alison,Byrnes,3,Yes,41,Yes,41,Female
99,Kate,Chaney,5,Yes,42,Yes,42,Female
100,Tom,White,2,No,,Yes,42,Male
101,Andrew,Willcox,8,Yes,43,Yes,43,Male
102,Amanda,Nickson,7,No,,Yes,43,Female
103,Peter,Dutton,7,Yes,44,Yes,44,Male
104,Ali,France,3,No,,Yes,44,Female
105,Ellie,Smith,5,No,,Yes,44,Female
106,Vinnie,Batten,5,No,,Yes,44,Female
107,Emma,McBride,3,Yes,45,Yes,45,Female
108,Brendan,Small,2,No,,Yes,45,Male
109,Jodie,Belyea,3,Yes,46,Yes,46,Female
110,Nathan,Conroy,2,No,,Yes,46,Male
111,Peter,Nicholes,7,No,,Yes,46,Male
112,Melissa,Price,2,Yes,47,Yes,47,Female
113,Karen,Wheatland,3,No,,Yes,47,Female
114,Kristy,McBain,3,Yes,48,Yes,48,Female
115,Jo,Van Der Plaat,2,No,,Yes,48,Female
116,Cameron,Caldwell,8,Yes,49,Yes,49,Male
117,Nick,Muir,4,No,,Yes,49,Male
118,Ted,O'Brien,8,Yes,50,Yes,50,Male
119,Francine,Wiig,5,No,,Yes,50,Female
120,Rebecca,Scriven,7,No,,Yes,50,Female
121,Sussan,Ley,2,Yes,51,Yes,51,Female
122,Michelle,Milthorpe,5,No,,Yes,51,Female
123,Andrew,Leigh,3,Yes,52,Yes,52,Male
124,Andrew,Wallace,8,Yes,53,Yes,53,Male
125,Keryn,Jones,5,No,,Yes,53,Female
126,Zoe,McKenzie,2,Yes,54,Yes,54,Female
127,Ben,Smith,5,No,,Yes,54,Male
128,Colin,Boyce,8,Yes,55,Yes,55,Male
129,Bert,Van Manen,8,Yes,56,Yes,56,Male
