CED_CODE_2021,DivisionNm
CED101,Banks
CED102,Barton
CED103,Bennelong
CED104,Berowra
CED105,Blaxland
CED106,Bradfield
CED107,Calare
CED108,Chifley
CED109,Cook
CED110,Cowper
CED111,Cunningham
CED112,Dobell
CED113,Eden-Monaro
CED114,Farrer
CED115,Fowler
CED116,Gilmore
CED117,Grayndler
CED118,Greenway
CED119,Hughes
CED120,Hume
CED121,Hunter
CED122,Kingsford Smith
CED123,Lindsay
CED124,Lyne
CED125,Macarthur
CED126,Mackellar
CED127,Macquarie
CED128,McMahon
CED129,Mitchell
CED130,New England
CED131,Newcastle
CED132,North Sydney
CED133,Page
CED134,Parkes
CED135,Parramatta
CED136,Paterson
CED137,Reid
CED138,Richmond
CED139,Riverina
CED140,Robertson
CED141,Shortland
CED142,Sydney
CED143,Warringah
CED144,Watson
CED145,Wentworth
CED146,Werriwa
CED147,Whitlam
CED201,Aston
CED202,Ballarat
CED203,Bendigo
CED204,Bruce
CED205,Calwell
CED206,Casey
CED207,Chisholm
CED208,Cooper
CED209,Corangamite
CED210,Corio
CED211,Deakin
CED212,Dunkley
CED213,Flinders
CED214,Fraser
CED215,Gellibrand
CED216,Gippsland
CED217,Goldstein
CED218,Gorton
CED219,Hawke
CED220,Higgins
CED221,Holt
CED222,Hotham
CED223,Indi
CED224,Isaacs
CED225,Jagajaga
CED226,Kooyong
CED227,La Trobe
CED228,Lalor
CED229,Macnamara
CED230,Mallee
CED231,Maribyrnong
CED232,McEwen
CED233,Melbourne
CED234,Menzies
CED235,Monash
CED236,Nicholls
CED237,Scullin
CED238,Wannon
CED239,Wills
CED301,Blair
CED302,Bonner
CED303,Bowman
CED304,Brisbane
CED305,Capricornia
CED306,Dawson
CED307,Dickson
CED308,Fadden
CED309,Fairfax
CED310,Fisher
CED311,Flynn
CED312,Forde
CED313,Griffith
CED314,Groom
CED315,Herbert
CED316,Hinkler
CED317,Kennedy
CED318,Leichhardt
CED319,Lilley
CED320,Longman
CED321,Maranoa
CED322,McPherson
CED323,Moncrieff
CED324,Moreton
CED325,Oxley
CED326,Petrie
CED327,Rankin
CED328,Ryan
CED329,Wide Bay
CED330,Wright
CED401,Adelaide
CED402,Barker
CED403,Boothby
CED404,Grey
CED405,Hindmarsh
CED406,Kingston
CED407,Makin
CED408,Mayo
CED409,Spence
CED410,Sturt
CED501,Brand
CED502,Burt
CED503,Canning
CED504,Cowan
CED505,Curtin
CED506,Durack
CED507,Forrest
CED508,Fremantle
CED509,Hasluck
CED510,Moore
CED511,O'Connor
CED512,Pearce
CED513,Perth
CED514,Swan
CED515,Tangney
CED601,Bass
CED602,Braddon
CED603,Clark
CED604,Franklin
CED605,Lyons
CED701,Lingiari
CED702,Solomon
CED801,Bean
CED802,Canberra
CED803,Fenner
