Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,$50k-$99k,"1,703",39,35,11,6,,55,45,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,$50k-$99k,"1,403",39,31,12,7,,57,43,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,$50k-$99k,450,33,35,14,7,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,$50k-$99k,426,33,35,14,7,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,$50k-$99k,"1,403",37,34,12,6,,55,45,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,$50k-$99k,426,32,33,14,7,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,$50k-$99k,563,29,42,13,5,,,,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,$50k-$99k,"1,079",36,34,12,7,,55,45,,,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,$50k-$99k,"1,089",33,34,13,8,,53,47,,,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,$50k-$99k,462,34,35,13,8,,53,47,,,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,$50k-$99k,"1,486",34,34,14,8,,54,46,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,$50k-$99k,"1,114",31,37,12,8,,50,50,,,
