Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,English only,"5,682",38,34,12,6,,55,45,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,English only,"4,683",38,34,10,7,,55,45,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,English only,994,36,33,9,,,54,46,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,English only,986,36,36,14,,,53,47,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,English only,"1,299",32,36,14,6,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,English only,"1,359",32,36,14,6,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,English only,"4,683",35,36,12,6,,53,47,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,English only,986,33,36,14,,,53,47,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,English only,"1,359",32,35,13,7,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,English only,"1,332",29,38,14,7,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,English only,"1,979",32,36,13,,,52,48,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,English only,"3,599",33,37,12,7,,51,49,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,English only,"1,290",31,37,12,7,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,English only,"2,009",31,40,12,,,50,50,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,English only,"1,301",30,39,13,9,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,English only,214,39,36,11,5,,,,54,46,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,English only,"1,313",32,39,12,8,,,,49,51,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,English only,"3,634",32,37,12,7,,51,49,,,
"May 10, 2024","May 14, 2024",YouGov,Online,English only,"1,274",30,37,12,9,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,English only,222,34,33,20,4,,,,57,43,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,English only,"1,543",32,38,12,7,,50,50,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,English only,271,35,33,13,3,,,,57,43,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,English only,"1,284",31,39,11,8,,,,48,52,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,English only,"1,350",30,41,12,7,,,,46.4,53.6,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,English only,"4,957",32,38,12,7,,50,50,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,English only,"1,980",34,39,16,,,50,50,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,English only,"1,264",29,40,12,9,,48,52,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,English only,"3,717",32,40,11,6,,49,51,,,
