Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,No tertiary,"1,539",38,33,12,7,,56,44,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,No tertiary,"1,268",38,32,10,9,,56,44,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,No tertiary,269,37,36,6,,,52,48,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,No tertiary,267,37,39,8,,,51,49,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,No tertiary,394,30,37,16,6,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,No tertiary,431,30,37,16,6,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,No tertiary,"1,268",36,37,11,7,,53,47,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,No tertiary,267,30,39,12,,,48,52,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,No tertiary,431,30,39,14,7,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,No tertiary,407,32,37,15,8,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,No tertiary,536,34,35,12,,,53,47,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,No tertiary,975,35,36,12,7,,53,47,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,No tertiary,417,30,37,12,10,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,No tertiary,544,26,49,11,,,42,58,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,No tertiary,415,30,39,11,8,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,No tertiary,428,31,36,15,8,,,,50,50,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,No tertiary,428,33,39,9,9,,,,48,52,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,No tertiary,984,33,38,11,8,,50,50,,,
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,No tertiary,408,31,41,11,8,,49,51,,,
"May 10, 2024","May 14, 2024",YouGov,Online,No tertiary,394,30,41,11,10,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,No tertiary,374,30,39,14,9,,,,51,49,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,No tertiary,418,32,38,12,8,,50,50,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,No tertiary,356,27,37,12,9,,,,49,51,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,No tertiary,370,31,37,14,11,,,,50,50,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,No tertiary,411,29,45,13,6,,,,44.2,55.8,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,No tertiary,"1,343",32,39,12,8,,49,51,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,No tertiary,536,35,41,9,,,49,51,,,
"Nov 19, 2024","Nov 21, 2024",DemosAU,Online,No tertiary,277,30,41,9,6,8,47,53,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,No tertiary,424,33,35,10,12,,53,47,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,No tertiary,"1,007",30,42,11,6,,47,53,,,
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,No tertiary,536,26,43,10,,,44,56,,,
