Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"May 21, 2022",,Election,,QLD,,27.4,39.6,12.9,5.9,,46,54,,,
"Aug 17, 2022","Aug 21, 2022",Resolve Strategic,Online,QLD,409,37,31,16,6,,,,,,
"Sep 14, 2022","Sep 18, 2022",Resolve Strategic,Online,QLD,327,42,31,7,10,,,,,,
"Oct 5, 2022","Oct 9, 2022",Resolve Strategic,Online,QLD,326,31,38,14,6,,,,,,
"Oct 26, 2022","Oct 30, 2022",Resolve Strategic,Online,QLD,328,36,32,16,4,,,,,,
"Nov 30, 2022","Dec 4, 2022",Resolve Strategic,Online,QLD,328,43,34,7,6,,,,,,
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,QLD,"1,207",33,40,12,6,,49,51,,,
"Jan 18, 2023","Jan 22, 2023",Resolve Strategic,Online,QLD,328,38,30,11,9,,,,,,
"Feb 15, 2023","Feb 19, 2023",Resolve Strategic,Online,QLD,326,39,35,10,9,,,,,,
"Mar 12, 2023","Mar 16, 2023",Resolve Strategic,Online,QLD,325,39,24,14,6,,,,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,QLD,995,33,39,10,8,,50,50,,,
"Apr 12, 2023","Apr 16, 2023",Resolve Strategic,Online,QLD,327,37,29,15,8,,,,,,
"May 10, 2023","May 14, 2023",Resolve Strategic,Online,QLD,327,27,39,17,7,,,,,,
"Jun 6, 2023","Jun 11, 2023",Resolve Strategic,Online,QLD,327,38,31,10,11,,,,,,
"Jul 12, 2023","Jul 15, 2023",Resolve Strategic,Online,QLD,327,33,36,12,6,,,,,,
"Aug 9, 2023","Aug 12, 2023",Resolve Strategic,Online,QLD,326,28,40,9,8,,,,,,
"Sep 6, 2023","Sep 9, 2023",Resolve Strategic,Online,QLD,326,29,35,16,9,,,,,,
"Sep 22, 2023","Oct 4, 2023",Resolve Strategic,Online,QLD,961,33,34,11,9,,,,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,QLD,319,29,41,12,8,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,QLD,342,29,41,12,8,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,QLD,995,30,39,11,9,,48,52,,,
"Nov 1, 2023","Nov 5, 2023",Resolve Strategic,Online,QLD,326,31,36,12,11,,,,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,QLD,342,35,36,10,9,,,,,,
"Nov 29, 2023","Dec 3, 2023",Resolve Strategic,Online,QLD,326,33,38,12,8,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,QLD,329,22,42,16,8,,,,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,QLD,764,27,41,12,8,,46,54,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,QLD,330,30,43,13,7,,,,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,QLD,320,29,42,14,8,,,,,,
"Feb 21, 2024","Feb 24, 2024",Resolve Strategic,Online,QLD,326,32,44,9,9,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,QLD,316,30,36,15,8,,,,50,50,
"Mar 21, 2024","Mar 24, 2024",Resolve Strategic,Online,QLD,327,30,36,14,7,,,,,,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,QLD,327,27,47,12,7,,,,42,58,
