Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"May 21, 2022",,Election,,SA,,34.5,35.5,12.8,4.8,,54,46,,,
"Oct 5, 2022","Dec 4, 2022",Resolve Strategic,Online,SA,380,46,26,14,3,,,,,,
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,SA,449,40,35,12,6,,57,43,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,SA,362,38,35,12,5,,56,44,,,
"Mar 12, 2023","May 14, 2023",Resolve Strategic,Online,SA,375,46,22,14,6,,,,,,
"Apr 12, 2023","Jun 11, 2023",Resolve Strategic,Online,SA,380,46,22,14,6,,,,,,
"Jul 12, 2023","Sep 9, 2023",Resolve Strategic,Online,SA,375,43,24,11,7,,,,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,SA,117,36,30,16,8,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,SA,127,36,30,16,8,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,SA,370,40,30,10,11,,57,43,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,SA,127,41,33,12,6,,,,,,
"Sep 22, 2023","Oct 4, 2023",Resolve Strategic,Online,SA,617,43,24,11,7,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,SA,121,41,36,5,9,,,,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,SA,277,38,35,10,6,,55,45,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,SA,124,34,33,12,13,,,,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,SA,115,40,35,6,12,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,SA,117,32,31,26,1,,,,55,45,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,SA,119,33,35,14,12,,,,56,44,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,SA,278,35,33,11,10,,54,46,,,
"Feb 1, 2024","May 26, 2024",Accent/RedBridge,Online,SA,319,33,36,14,,,,,,,
"Feb 2, 2024","Apr 21, 2024",Resolve Strategic,Online,SA,380,34,32,17,3,,,,,,
"May 10, 2024","May 14, 2024",YouGov,Online,SA,122,37,33,18,8,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,SA,126,37,31,12,8,,,,45,55,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,SA,368,34,34,11,12,,53,47,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,SA,124,29,22,15,12,,,,61,39,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,SA,123,48,31,10,4,,,,58,42,
"Jul 10, 2024","Aug 27, 2024",Accent/RedBridge,Online,SA,472,32,37,12,,,,,,,
"Jul 9, 2024","Sep 7, 2024",Resolve Strategic,Online,SA,359,28,36,14,6,,,,,,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,SA,138,31,40,9,10,,,,41.6,58.4,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,SA,374,36,35,9,10,,54,46,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,SA,120,34,28,12,18,,54,46,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,SA,280,35,37,9,7,,53,47,,,
"Oct 1, 2024","Dec 8, 2024",Resolve Strategic,Online,SA,359,27,34,12,8,,,,,,
