Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,TAFE/Tech,"1,764",37,35,10,6,,54,46,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,TAFE/Tech,"1,454",37,34,10,7,,54,46,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,TAFE/Tech,309,36,29,12,,,57,43,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,TAFE/Tech,306,29,38,16,,,50,50,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,TAFE/Tech,485,33,35,14,7,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,TAFE/Tech,484,33,35,14,7,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,TAFE/Tech,"1,454",35,33,11,8,,53,47,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,TAFE/Tech,306,33,35,11,,,52,48,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,TAFE/Tech,484,30,35,9,9,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,TAFE/Tech,477,25,38,14,7,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,TAFE/Tech,614,30,39,10,,,48,52,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,TAFE/Tech,"1,117",32,36,10,9,,50,50,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,TAFE/Tech,515,32,36,12,7,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,TAFE/Tech,623,34,37,10,,,51,49,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,TAFE/Tech,493,29,37,13,12,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,TAFE/Tech,486,31,38,13,6,,,,47,53,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,TAFE/Tech,478,24,42,14,9,,,,45,55,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,TAFE/Tech,"1,128",30,36,12,8,,50,50,,,
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,TAFE/Tech,467,35,33,10,10,,53,47,,,
"May 10, 2024","May 14, 2024",YouGov,Online,TAFE/Tech,467,28,35,15,9,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,TAFE/Tech,482,28,38,12,11,,,,44,56,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,TAFE/Tech,479,33,37,11,9,,51,49,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,TAFE/Tech,493,27,35,12,6,,,,45,55,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,TAFE/Tech,471,33,36,11,7,,,,50,50,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,TAFE/Tech,521,27,37,13,9,,,,49.6,50.4,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,TAFE/Tech,"1,539",30,37,13,8,,50,50,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,TAFE/Tech,615,30,38,11,,,48,52,,,
"Nov 19, 2024","Nov 21, 2024",DemosAU,Online,TAFE/Tech,317,39,31,12,10,6,56,44,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,TAFE/Tech,450,24,40,14,9,,42,58,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,TAFE/Tech,"1,154",34,34,10,10,,51,49,,,
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,TAFE/Tech,615,27,44,7,,,42,58,,,
