Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,University,"2,460",38,36,12,4,,55,45,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,University,"2,027",37,37,12,4,,54,46,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,University,431,40,34,8,,,55,45,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,University,427,45,32,13,,,61,39,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,University,640,35,36,14,4,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,University,667,35,36,14,4,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,University,"2,027",37,35,14,4,,55,45,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,University,427,41,31,17,,,61,39,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,University,667,33,35,16,3,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,University,671,31,37,16,5,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,University,857,36,33,17,,,57,43,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,University,"1,558",33,36,16,4,,54,46,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,University,600,35,37,16,2,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,University,870,37,35,14,,,56,44,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,University,594,35,32,19,5,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,University,625,35,36,15,4,,,,53,47,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,University,607,37,35,17,4,,,,55,45,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,University,"1,573",36,35,15,3,,55,45,,,
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,University,652,35,40,11,3,,52,48,,,
"May 10, 2024","May 14, 2024",YouGov,Online,University,670,34,37,13,5,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,University,644,34,36,15,6,,,,50,50,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,University,668,33,39,14,4,,52,48,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,University,679,35,35,14,3,,,,54,46,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,University,702,32,39,14,4,,,,50,50,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,University,687,35,32,17,5,,,,56,44,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,University,"2,146",35,38,13,3,,53,47,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,University,857,36,40,12,,,52,48,,,
"Nov 19, 2024","Nov 21, 2024",DemosAU,Online,University,442,27,40,16,6,2,49,51,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,University,641,32,39,17,5,,52,48,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,University,"1,609",32,40,14,3,,51,49,,,
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,University,857,41,34,11,,,57,43,,,
