Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"May 21, 2022",,Election,,VIC,,32.9,33.1,13.7,3.8,,54.8,45.2,,,
"Aug 17, 2022","Aug 21, 2022",Resolve Strategic,Online,VIC,507,44,24,11,5,,,,,,
"Sep 14, 2022","Sep 18, 2022",Resolve Strategic,Online,VIC,405,38,30,14,3,,,,,,
"Oct 5, 2022","Oct 9, 2022",Resolve Strategic,Online,VIC,404,40,30,10,4,,,,,,
"Oct 26, 2022","Oct 30, 2022",Resolve Strategic,Online,VIC,406,39,32,12,2,,,,,,
"Nov 30, 2022","Dec 4, 2022",Resolve Strategic,Online,VIC,406,46,27,11,2,,,,,,
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,VIC,"1,448",37,33,13,5,,57,43,,,
"Jan 18, 2023","Jan 22, 2023",Resolve Strategic,Online,VIC,406,41,31,13,3,,,,,,
"Feb 15, 2023","Feb 19, 2023",Resolve Strategic,Online,VIC,404,40,27,14,3,,,,,,
"Mar 12, 2023","Mar 16, 2023",Resolve Strategic,Online,VIC,403,43,29,9,6,,,,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,VIC,"1,193",41,33,11,4,,58,42,,,
"Apr 12, 2023","Apr 16, 2023",Resolve Strategic,Online,VIC,406,39,32,11,3,,,,,,
"May 10, 2023","May 14, 2023",Resolve Strategic,Online,VIC,406,48,25,12,4,,,,,,
"Jun 6, 2023","Jun 11, 2023",Resolve Strategic,Online,VIC,405,40,25,15,6,,,,,,
"Jul 12, 2023","Jul 15, 2023",Resolve Strategic,Online,VIC,406,42,26,13,5,,,,,,
"Aug 9, 2023","Aug 12, 2023",Resolve Strategic,Online,VIC,404,38,30,14,3,,,,,,
"Sep 6, 2023","Sep 9, 2023",Resolve Strategic,Online,VIC,404,40,32,13,3,,,,,,
"Sep 22, 2023","Oct 4, 2023",Resolve Strategic,Online,VIC,"1,192",39,30,11,6,,,,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,VIC,386,36,34,13,6,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,VIC,368,36,34,13,6,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,VIC,"1,193",36,35,13,4,,54,46,,,
"Nov 1, 2023","Nov 5, 2023",Resolve Strategic,Online,VIC,404,37,25,14,8,,,,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,VIC,368,32,35,17,3,,,,,,
"Nov 29, 2023","Dec 3, 2023",Resolve Strategic,Online,VIC,405,37,34,11,4,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,VIC,392,31,32,17,6,,,,,,
