Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,UND,L-NP 2pp,ALP 2pp,L-NP r/a,ALP r/a
"Nov 7, 2019","Dec 8, 2019",Newspoll,Online,Female,736,38,35,13,5,,48,52,,
"Jan 7, 2020","Jan 11, 2020",Essential Research,Online,Female,540,34,34,10,5,8,,,43,48
"Jan 21, 2020","Jan 25, 2020",Essential Research,Online,Female,540,32,33,11,6,9,,,41,50
"Feb 4, 2020","Feb 8, 2020",Essential Research,Online,Female,528,30,36,10,7,9,,,41,51
"Feb 18, 2020","Feb 22, 2020",Essential Research,Online,Female,545,33,34,11,4,10,,,41,49
"Mar 5, 2020","Mar 8, 2020",Essential Research,Online,Female,548,35,34,9,6,10,,,43,48
"Mar 18, 2020","Mar 21, 2020",Essential Research,Online,Female,517,32,34,13,3,10,,,41,49
"Mar 25, 2020","Mar 28, 2020",Essential Research,Online,Female,543,33,34,10,4,11,,,41,48
"Apr 2, 2020","Apr 5, 2020",Essential Research,Online,Female,534,36,34,11,4,9,,,45,46
"Mar 11, 2020","May 16, 2020",Newspoll,Online,Female,"3,016",39,35,14,4,,48,52,,
"Mar 18, 2020","May 23, 2020",Essential Research,Online,Female,534,35,36,11,6,7,,,44,49
"Mar 25, 2020","May 30, 2020",Essential Research,Online,Female,534,38,31,11,5,8,,,49,43
"Apr 25, 2020","May 3, 2020",Essential Research,Online,Female,527,38,30,11,3,11,,,46,43
"Apr 30, 2020","May 3, 2020",Essential Research,Online,Female,546,38,31,13,4,10,,,46,43
"May 7, 2020","May 10, 2020",Essential Research,Online,Female,533,38,32,9,3,11,,,45,44
"May 13, 2020","May 16, 2020",Essential Research,Online,Female,536,31,37,10,3,13,,,38,49
"May 20, 2020","May 23, 2020",Essential Research,Online,Female,543,38,32,10,6,9,,,45,45
"May 28, 2020","May 31, 2020",Essential Research,Online,Female,529,36,33,10,5,8,,,44,48
"Jun 3, 2020","Jun 7, 2020",Essential Research,Online,Female,536,37,33,10,4,11,,,44,46
"Jun 10, 2020","Jun 14, 2020",Essential Research,Online,Female,543,35,34,10,5,9,,,44,47
"Jun 17, 2020","Jun 21, 2020",Essential Research,Online,Female,539,34,35,11,4,9,,,43,48
"Jun 24, 2020","Jun 28, 2020",Essential Research,Online,Female,529,37,32,10,5,9,,,46,45
"Jun 3, 2020","Aug 8, 2020",Newspoll,Online,Female,"3,255",39,35,13,4,,49,51,,
"Jul 8, 2020","Jul 12, 2020",Essential Research,Online,Female,527,33,31,11,5,12,,,42,45
"Jul 23, 2020","Jul 26, 2020",Essential Research,Online,Female,529,33,37,10,4,11,,,40,49
"Aug 6, 2020","Aug 9, 2020",Essential Research,Online,Female,505,35,32,9,5,15,,,44,41
"Aug 20, 2020","Aug 23, 2020",Essential Research,Online,Female,525,36,34,10,5,10,,,44,46
