DivisionNm,ALP,GRN,IND,LNP,ONP,OTH,TEAL
Bean,1,1,0,1,0,0,1
Canberra,1,1,1,1,0,1,0
Fenner,1,1,0,1,0,0,0
Banks,1,1,0,1,0,1,0
Barton,1,1,0,1,0,0,0
Bennelong,1,1,0,1,0,1,0
Berowra,1,1,0,1,0,1,1
Blaxland,1,1,1,1,0,0,0
Bradfield,1,1,1,1,0,0,1
Calare,1,1,3,1,1,0,1
Chifley,1,1,0,1,0,0,0
Cook,1,1,0,1,0,1,0
Cowper,1,1,0,1,1,1,1
Cunningham,1,1,0,1,0,1,0
Dobell,1,1,0,1,1,0,0
Eden-Monaro,1,1,0,1,0,0,0
Farrer,1,1,0,1,0,2,1
Fowler,1,1,3,1,1,1,0
Gilmore,1,1,1,1,0,0,0
Grayndler,1,1,0,1,0,0,0
Greenway,1,1,0,1,0,0,0
Hughes,1,1,0,1,0,1,0
Hume,1,1,0,1,0,0,0
Hunter,1,1,0,1,1,2,0
Kingsford Smith,1,1,0,1,0,0,0
Lindsay,1,1,0,1,1,4,0
Lyne,1,1,0,1,0,6,1
Macarthur,1,1,0,1,0,0,0
Mackellar,1,1,0,1,0,0,1
Macquarie,1,1,0,1,1,1,0
McMahon,1,1,1,1,0,0,0
Mitchell,1,1,0,1,0,0,0
New England,1,1,0,1,1,1,0
Newcastle,1,1,0,1,0,1,0
Page,1,1,0,1,0,2,0
Parkes,1,1,0,1,0,1,0
Parramatta,1,1,0,1,0,0,0
Paterson,1,1,0,1,1,1,0
Reid,1,1,0,1,0,0,0
Richmond,1,1,0,1,1,1,0
Riverina,1,1,1,1,0,2,1
Robertson,1,1,0,1,1,1,0
Shortland,1,1,0,1,1,2,0
Sydney,1,1,0,1,0,1,0
Warringah,1,1,0,1,0,0,1
Watson,1,1,0,1,0,2,0
Wentworth,1,1,0,1,0,0,1
Werriwa,1,1,0,1,0,0,0
Whitlam,1,1,0,1,1,1,0
Lingiari,1,1,0,1,1,2,0
Solomon,1,1,0,1,1,2,1
Blair,1,1,0,1,1,3,0
Bonner,1,1,0,1,0,2,0
Bowman,1,1,0,1,1,2,0
Brisbane,1,1,0,1,0,3,0
Capricornia,1,1,0,1,1,1,0
Dawson,1,1,0,1,0,2,0
Dickson,1,1,0,1,1,1,1
Fadden,1,1,2,1,1,3,0
Fairfax,1,1,0,1,1,2,1
Fisher,1,1,0,1,1,2,1
Flynn,1,1,0,1,1,2,0
Forde,1,1,0,1,0,3,0
Griffith,1,1,0,1,0,3,0
Groom,1,1,0,1,1,1,1
Herbert,1,1,0,1,0,1,0
Hinkler,1,1,0,1,1,1,0
Kennedy,1,1,0,1,0,2,0
Leichhardt,1,1,0,1,1,2,0
Lilley,1,1,0,1,1,1,0
Longman,1,1,0,1,0,2,0
Maranoa,1,1,0,1,0,2,0
McPherson,1,1,5,1,0,2,1
Moncrieff,1,1,1,1,1,3,0
Moreton,1,1,0,1,0,4,0
Oxley,1,1,0,1,0,2,0
Petrie,1,1,0,1,1,1,0
Rankin,1,1,0,1,0,2,0
Ryan,1,1,0,1,1,4,0
Wide Bay,1,1,0,1,1,2,0
Wright,1,1,0,1,1,2,0
Adelaide,1,1,0,1,0,1,0
Barker,1,1,1,1,0,1,0
Boothby,1,1,0,1,0,1,0
Grey,1,1,0,1,1,1,1
Hindmarsh,1,1,0,1,0,3,0
Kingston,1,1,0,1,1,2,0
Makin,1,1,0,1,1,1,0
Mayo,1,1,0,1,1,3,0
Spence,1,1,0,1,1,1,0
Sturt,1,1,0,1,1,2,1
Bass,1,1,0,1,0,1,0
Braddon,1,1,1,1,0,0,0
Clark,1,1,0,1,0,0,1
Franklin,1,1,1,1,0,0,1
Lyons,1,1,0,1,0,1,0
Aston,1,1,0,1,0,2,0
Ballarat,1,1,0,1,2,1,0
Bendigo,1,1,0,1,0,5,0
Bruce,1,1,0,1,1,1,0
Calwell,1,1,1,1,0,3,0
Casey,1,1,3,1,0,0,2
Chisholm,1,1,0,1,0,1,0
Cooper,1,1,0,1,0,1,0
Corangamite,1,1,0,1,0,1,0
Corio,1,1,0,1,0,0,0
Deakin,1,1,0,1,0,0,1
Dunkley,1,1,0,1,1,1,0
Flinders,1,1,0,1,2,1,1
Fraser,1,1,0,1,0,1,0
Gellibrand,1,1,0,1,0,0,0
Gippsland,1,1,0,1,1,1,0
Goldstein,1,1,0,1,1,2,1
Gorton,1,1,0,1,0,0,0
Hawke,1,1,0,1,0,1,0
Holt,1,1,0,1,1,0,0
Hotham,1,1,0,1,0,2,0
Indi,1,1,0,1,0,1,1
Isaacs,1,1,0,1,0,1,0
Jagajaga,1,1,0,1,0,1,0
Kooyong,1,1,0,1,0,3,1
La Trobe,1,1,0,1,1,2,0
Lalor,1,1,0,1,0,1,0
Macnamara,1,1,0,1,0,0,0
Mallee,1,1,0,1,1,2,0
Maribyrnong,1,1,0,1,0,0,0
McEwen,1,1,0,1,0,1,0
Melbourne,1,1,0,1,0,0,0
Menzies,1,1,1,1,0,1,0
