DivisionNm,CountNum,PPId,ALP,GRN,IND,LNP,ONP,OTH,TEAL
Adelaide,1,0,0.16415893323722855,0.17816920443283177,,0.146589782863321,0.5110820794666185,-1.0,
Adelaide,1,6648,0.0,0.6666666666666666,,0.0,0.3333333333333333,-1.0,
Adelaide,1,6649,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,1,6651,0.2,0.0,,0.2,0.6,-1.0,
Adelaide,1,6654,0.2222222222222222,0.2222222222222222,,0.3333333333333333,0.2222222222222222,-1.0,
Adelaide,1,6655,0.0,0.0,,0.0,0.0,-1.0,
Adelaide,1,6657,0.2498937526561836,0.0,,0.0,0.7501062473438164,-1.0,
Adelaide,1,6659,0.11771072926532268,0.17643079420917332,,0.0,0.705858476525504,-1.0,
Adelaide,1,6660,0.0,0.0,,0.0,0.0,-1.0,
Adelaide,1,6663,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,1,6668,0.09090909090909091,0.2727272727272727,,0.0,0.6363636363636364,-1.0,
Adelaide,1,6674,0.2,0.0,,0.0,0.8,-1.0,
Adelaide,1,6675,0.18176197836166924,0.0,,0.3636785162287481,0.4545595054095827,-1.0,
Adelaide,1,6676,0.5,0.0,,0.0,0.5,-1.0,
Adelaide,1,6679,0.28567755206994083,0.14296734379017742,,0.28567755206994083,0.28567755206994083,-1.0,
Adelaide,1,6681,0.3000190005700171,0.6000380011400342,,0.0,0.09994299828994871,-1.0,
Adelaide,1,6682,0.3333,0.0,,0.0,0.6667000000000001,-1.0,
Adelaide,1,6685,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,1,6686,0.0,0.14283060921248145,,0.0,0.8571693907875186,-1.0,
Adelaide,1,6868,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,1,6871,0.0,0.0,,0.33340000000000003,0.6666,-1.0,
Adelaide,1,6878,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,1,6886,0.111095059231436,0.222190118462872,,0.111095059231436,0.555619763074256,-1.0,
Adelaide,1,6889,0.0,0.09090909090909091,,0.45454545454545453,0.45454545454545453,-1.0,
Adelaide,1,7008,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,1,7048,0.25011876484560575,0.12494061757719715,,0.12494061757719715,0.5000000000000001,-1.0,
Adelaide,1,7049,0.06666666666666667,0.13333333333333333,,0.13333333333333333,0.6666666666666666,-1.0,
Adelaide,1,7053,0.2000559988800224,0.06663866722665547,,0.06663866722665547,0.6666666666666667,-1.0,
Adelaide,1,7067,0.25003749812509374,0.0,,0.7499625018749062,0.0,-1.0,
Adelaide,1,7075,0.16666666666666666,0.3333333333333333,,0.16666666666666666,0.3333333333333333,-1.0,
Adelaide,1,7077,0.14280408542246983,0.0,,0.4285979572887651,0.4285979572887651,-1.0,
Adelaide,1,7078,0.12494061757719715,0.0,,0.12494061757719715,0.7501187648456058,-1.0,
Adelaide,1,7079,0.0,0.19996599217820096,,0.19996599217820096,0.600068015643598,-1.0,
Adelaide,1,7080,0.12496249624962497,0.06255625562556257,,0.12496249624962497,0.6875187518751875,-1.0,
Adelaide,1,7254,0.0,0.5,,0.0,0.5,-1.0,
Adelaide,1,7255,0.3333333333333333,0.0,,0.0,0.6666666666666666,-1.0,
Adelaide,1,7280,0.375,0.125,,0.0,0.5,-1.0,
Adelaide,1,12085,0.0,0.0,,0.2857387727116901,0.7142612272883099,-1.0,
Adelaide,1,12086,0.0,0.0,,0.0,1.0,-1.0,
Adelaide,1,31070,0.0,0.0,,0.0,1.0,-1.0,
