demographic,ALP,ALP_std,LNC,LNC_std,GRN,GRN_std,PHON,PHON_std,OTH,OTH_std,ALP 2pp,ALP 2pp_std,L-NP 2pp,L-NP 2pp_std
national,0.326,,0.35700000000000004,,0.12300000000000001,,0.05,,0.1439999999999999,,0.521,,0.479,
nsw,0.33399999999999996,,0.365,,0.1,,0.048,,0.15300000000000002,,0.514,,0.486,
qld,0.27399999999999997,,0.396,,0.129,,0.059000000000000004,,0.14200000000000002,,0.46,,0.54,
sa,0.345,,0.355,,0.128,,0.048,,0.124,,0.54,,0.46,
tas,0.273,,0.32899999999999996,,0.12,,0.04,,0.238,,0.5429999999999999,,0.457,
victoria,0.32899999999999996,,0.331,,0.13699999999999998,,0.038,,0.16500000000000004,,0.5479999999999999,,0.452,
wa,0.368,,0.348,,0.125,,0.04,,0.119,,0.55,,0.45,
100to150k,0.3658833092306713,0.08806868483332118,0.3686255702663921,0.1076872729185292,0.10058141165105915,0.032921245084580136,0.030934268653416704,0.012561298691635046,0.13397544019846075,0.03731999753268682,0.5210711546842505,0.15333807954256887,0.4789288453157496,0.15901586871843335
150kplus,0.3420589454764775,0.10151246048987474,0.3529640029401224,0.1032248684677506,0.11477953095617185,0.02924911770778295,0.029702496206762498,0.008569170365495067,0.1604950244204657,0.04637133883789334,0.5302108130004309,0.12856619539334274,0.46978918699956906,0.15012448857848157
18to34,0.4244823585682418,0.07684002697895301,0.24255589435683472,0.0589149246037086,0.19220266839383046,0.04985675719878204,0.026245626535605835,0.007705197236193095,0.11451345214548725,0.02500025135311431,0.6478887564404491,0.11879540289171624,0.35211124355955087,0.07413631542325398
35to49,0.4124843779802249,0.07489352115234145,0.3063011252223382,0.0755031567045821,0.09914061053870568,0.025986986658656695,0.04855799265729938,0.01337977661398575,0.13351589360143168,0.02924050796569642,0.577007651589404,0.10248449114976205,0.42299234841059596,0.09472530542173951
50to64,0.36562517406157546,0.06613345499647413,0.38300116803784773,0.08690767889489799,0.051093310376056425,0.015710970010382595,0.04777390226197796,0.013033649838425143,0.1525064452625423,0.03271234211435993,0.4913065828833258,0.09615731440273116,0.5086934171166742,0.10695739036462842
50to99k,0.39114799648438064,0.0782942055917127,0.32941273283610145,0.09038101814896055,0.09302831540036444,0.03699163300960891,0.04024046127476347,0.015982772812027122,0.14617049400439008,0.03794508812533282,0.5389693606158547,0.15279270169709144,0.46103063938414546,0.14664341999195754
65plus,0.32688452862804485,0.056220257448194366,0.4856558669195009,0.1024293785771291,0.028466143737191925,0.008297643179508282,0.0286283194128283,0.01259261546177936,0.13036514130243404,0.026914449787225844,0.42205387167092084,0.07500505778669966,0.5779461283290791,0.12165794775077547
christian,0.3303029346405069,0.06487390895196934,0.4395482368027461,0.09828786497607625,0.050337236496479636,0.013921021077568181,0.04089233710628702,0.010779961160010367,0.1389192549539804,0.03030813808144673,0.45540742560849823,0.08192670202014135,0.5445925743915018,0.1121427602171049
englishonly,0.37517469478011917,0.06769117044840542,0.3552897152969204,0.09037326619512193,0.09672502736833763,0.024491348793160114,0.03821535404393476,0.011290380374000935,0.13459520851068807,0.03014862566381948,0.5257252214807385,0.10640852037419081,0.4742747785192615,0.10755556500708942
female,0.3250672377352997,0.022878619660821636,0.30717678984295793,0.02517438197421098,0.14419237467864704,0.011569641913262244,0.04875963111633322,0.007147372976970525,0.174803966626762,0.014144110330534903,0.5892679009102948,0.030326574320321275,0.41073209908970526,0.04840997492814016
male,0.35300125417553424,0.021350803703009312,0.36849923482935565,0.02643690752028699,0.09020401678459843,0.007989042182455566,0.04830110976551047,0.006085668282413548,0.13999438444500112,0.010070157087198644,0.5420371520567101,0.027372692670346484,0.45796284794328995,0.054488431145673394
nonenglish,0.42819423780405713,0.08188067035877053,0.299101728793544,0.07357094616368305,0.1190030202720323,0.03579710978743457,0.019004949975204754,0.007448192827920579,0.13469606315516192,0.03092981740787054,0.5873355892628376,0.1113561458177317,0.4126644107371623,0.08421883775334503
noreligion,0.4157846570981928,0.07811050464649336,0.2726117673484429,0.06467611999254684,0.13967750752212074,0.03971327891804638,0.03583088347753176,0.010341563614749997,0.13609518455371195,0.030379267015431293,0.6046541611231858,0.16694962119506493,0.3953458388768141,0.12323793576543489
notertiary,0.3982501859692988,0.0693856414699189,0.348092604449574,0.07872147027554863,0.08343357018326238,0.02450507186214092,0.04730137920934369,0.011901524204814985,0.12292226018852104,0.0258595572211678,0.536005070294028,0.09852843167277843,0.46399492970597195,0.09930910617873889
tafe,0.3551365936103387,0.06526358230995251,0.35344728586319213,0.07882945130372503,0.09507983469086305,0.024966978160538753,0.04122514406604878,0.014588236763352126,0.15511114176955731,0.03371554641435711,0.5158528442203275,0.09908763185855833,0.48414715577967254,0.09930051030094816
university,0.39015477230004886,0.06565984353850897,0.3511098223435099,0.08376056375538729,0.11759298083835093,0.029983674975322797,0.017831287818458517,0.0067312489317454,0.12331113669963178,0.026180963659041524,0.553283991639973,0.1031341173621302,0.44671600836002706,0.10129107749575815
upto50k,0.37745708604612604,0.08179448049994391,0.3153153132489804,0.11545395808195832,0.09278095930204536,0.023266007827177443,0.05222585417570871,0.018484250925917406,0.1622207872271395,0.046277773710357725,0.5469396398178371,0.1558512455367383,0.4530603601821629,0.15432101100718343
