DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
Adelaide,0.11181443051159809,0.6122617950669711,0.16410934390983267,0.11181443051159809,0.3637992171875192,0.24632213101679734,0.19981963411491885,0.19005901768076466,0.5028792632324663,0.49712073676753366,0.6261891674770623,0.37381083252293773,0.48201955801754603,0.517980441982454,0.09908719999276273,0.334669211771411,0.5662435882358263
Aston,0.07663160645456327,0.6680276997452146,0.17870908734565885,0.07663160645456327,0.26450171547115614,0.2609547159136244,0.2484060262724589,0.22613754234276057,0.5099443255803253,0.4900556744196747,0.7147626841243863,0.28523731587561374,0.5027091047702026,0.4972908952297974,0.09363439774311463,0.46715112130758846,0.43921448094929694
Ballarat,0.0791727504521978,0.6826116329243577,0.15904286617124677,0.0791727504521978,0.2601732473811442,0.23852571850658072,0.24886684125705077,0.2524341928552243,0.5114326289183626,0.48856737108163745,0.934795952852246,0.065204047147754,0.4590756125393399,0.5409243874606601,0.13722905114583736,0.502320110641488,0.36045083821267465
Banks,0.10829020603456693,0.6047586498714318,0.1786609380594343,0.10829020603456693,0.2751241712797847,0.2520841082642277,0.24452078273490435,0.22827093772108323,0.5105598314091991,0.4894401685908008,0.534602044925855,0.4653979550741451,0.6757776095060578,0.3242223904939422,0.12250317905089858,0.4153022067677211,0.4621946141813803
Barker,0.06288871985323728,0.7474607364982774,0.1267618237952481,0.06288871985323728,0.22338481857871373,0.21666360934805737,0.2692225850240305,0.29072898704919836,0.49560238577852334,0.5043976142214767,0.9372906145307265,0.06270938546927346,0.4630225925585185,0.5369774074414815,0.18279395682287658,0.6063834096156183,0.21082263356150513
Barton,0.08843999075892342,0.6463266720572947,0.1767933464248585,0.08843999075892342,0.3539955780164245,0.25362019534476893,0.2025912337820108,0.18979299285679577,0.500579276745752,0.499420723254248,0.36524880501028034,0.6347511949897197,0.6240335073886843,0.3759664926113157,0.135851841055259,0.3467852132563266,0.5173629456884143
Bass,0.07103771421081949,0.7208624135784265,0.13706215799993446,0.07103771421081949,0.27290130701824356,0.2191164237610675,0.2460430506968105,0.2619392185238784,0.5094341338328499,0.49056586616715014,0.9100998677375453,0.08990013226245472,0.4407315561066336,0.5592684438933664,0.1438480378409707,0.5123487950343074,0.3438031671247219
Bean,0.11001728711120495,0.5496641549769725,0.23030127080061757,0.11001728711120495,0.2897154437220299,0.2693489825213206,0.23461116271215063,0.20632441104449886,0.5080205493814217,0.49197945061857834,0.7932950243743021,0.20670497562569787,0.506318009019131,0.49368199098086896,0.08148051732910509,0.39430370011004484,0.5242157825608501
Bendigo,0.06812694032424974,0.7060408761641945,0.15770524318730597,0.06812694032424974,0.24620181360920926,0.22890667766785405,0.2510650788991408,0.2738264298237959,0.5121121495327102,0.4878878504672897,0.9376167898016319,0.0623832101983681,0.4542005533663117,0.5457994466336883,0.15162646876932592,0.5051948051948052,0.3431787260358689
Bennelong,0.18028353683520446,0.4501761861837253,0.18925674014586577,0.18028353683520446,0.3098520176783389,0.28372579331225106,0.2105172004592776,0.19590498855013247,0.5115079896562027,0.4884920103437973,0.5501319473930313,0.44986805260696877,0.5417419925941626,0.4582580074058374,0.09044115821616835,0.257892602676244,0.6516662391075877
