DivisionNm,AJP,ALP,ASP,AUC,AUD,AUP,AUVA,CEC,CLP,CYA,DHJP,DPDA,GAP,GRN,HMP,IAP,IMO,IND,JLN,KAP,LDP,LNP,LP,NAFD,NP,ON,REAS,SAL,SOPA,SPP,TEAL,TLOC,TNL,UAPP,VNS,WAP,XEN
Adelaide,0.0022921135809962374,0.40024804422097454,,,,0.00016886139564577156,,,,0.007455899098994916,,0.000351571212627572,0.00048246113041649016,0.21669667973625203,,,,0.0018488195545758594,,,0.0006600405397479791,,0.2994175299536013,,4.933273720925372e-05,0.028032579143863694,,,0.012433023330832951,,,,0.00010855375434371029,0.027897015257814118,,,0.0018574753521034871
Aston,0.00238309108120701,0.3294993372273387,,,,,,4.649933816989287e-05,,0.0008951122597704378,0.00166235133957367,,,0.12314124393898407,,,,0.008032760668848993,,,0.0215291935726604,,0.4171864067353663,,,0.028410467252369814,,,,,,,0.008195508352443618,0.059018028233267066,,,
Ballarat,,0.44629869027565583,,,,,,,,0.007155821940167927,,,,0.14409579399589978,,,,0.020109426620179942,,,0.03447330277745132,,0.2743239184654157,,,0.03385957352345882,,,,,,,,0.03968347240177068,,,
Banks,,0.3409422124043137,,,,,,,,,,,,0.08365164833479068,,,,,,,0.011965575958396613,,0.4603678647583107,0.009618482212711124,,0.03247580038964824,,,,,,,,0.060978415941828894,,,
Barker,,0.2079949012195382,,,,,,,,0.007350573639082155,,,,0.07290160701357729,,,,0.049538819175678234,,,,,0.5310907977966255,,0.0236142368496214,0.0654460176710208,,,,,,,,0.0420630466348564,,,
Barton,,0.4712204780087682,,,,,,,,,,,,0.09868948286428134,,,,,,,0.0020977702352331117,,0.31422948192146327,0.0018149248102578607,,0.046186300853250366,,,,,,,,0.06576156130674586,,,
Bass,0.01342017145561964,0.28771935975876994,,,,,,,,,,,,0.11262717460540078,,,,0.046186661056666835,0.06684782291100554,,0.010844246536117295,,0.39748543445358014,,,0.04788952975345219,,,,,,,,0.016979599469387516,,,
Bean,,0.4226128434273742,,,0.0,,,,,,,,,0.14421281209481077,,,4.7440148873806715e-05,0.07859922479486962,,,0.0003444927089731662,,0.2983083449704202,,,0.02700640800569061,,,,8.302026052916175e-05,,,,0.02878541358845836,,,
Bendigo,,0.4243672890461624,,,,,,7.226828979584209e-05,,4.8178859863894725e-05,,,,0.13923690500665575,,,,0.045069662062678206,,,0.03099105160745028,,0.2604129675893334,,0.007419544419039787,0.05499533786463818,,,0.00013249186462571048,,,,,0.03725430338975659,,,
Bennelong,0.0008414465400964859,0.3285705381518094,,,,,,,,,,0.007157905234420774,,0.10006939336898574,,,0.001615577356985253,0.08582089862335192,,,0.013198452569424535,,0.4014487424010106,,,0.01494409055211359,,,0.012206584474999688,0.003242997294905197,,,0.002521015387044632,0.028362358044852216,,,
Berowra,0.0003071587812732227,0.255159772108001,,,,,,,,0.004052514243249938,,0.0022888283378746594,,0.14998266039137972,,,,0.0438642556353728,,,0.01860787713648749,,0.46090661382214515,,,0.026544463710676244,,,0.012444884815457023,,,,,0.025840971018082734,,,
Blair,0.019893649561186794,0.3625914684360368,,,,,0.017540763746735372,,,0.0001529375779393426,,,,0.12674995882449824,,,,,,,0.02539940236700313,0.28584033316863133,,,,0.09845650690571986,,,,,,,,0.06337497941224912,,,
Blaxland,0.004925483946906181,0.5385256143273636,,,,,,,,,,,,0.06404939970664397,,,,0.00994150987813049,,,0.009669883925176105,,0.2552016369990765,,,0.04079821813374862,,,0.0005794686996360212,,,,,0.07630878438331855,,,
Bonner,0.00015808686154465234,0.30404414934896956,,,,,,,,0.0006898335776493921,,,,0.17649679514817052,,,,,,,,0.426662067776149,,,,0.05847776723865367,,,,,,,,0.033471300048863215,,,
Boothby,0.010642886233961316,0.3288839919660721,,,,,,,,0.004983848553911919,,,0.00031626172442767104,0.15534201926165916,,,,0.00912796770158485,,,0.009592124352196786,,0.37370502255569815,,,0.02031763467913698,,,0.0005349185373509401,,0.06200528262309042,,,0.022377832046733572,,,0.002170209764176087
Bowman,,0.29461511029599063,,,,,,,,,,,,0.13075042029650008,,,,,,,,0.41944317081868665,,,,0.07552600743797443,,,,,,,0.011131489123236029,0.06853380202761221,,,
Braddon,0.007677448115310318,0.22674063433883138,,,,,,,,,,,,0.06541516007066554,,,,0.0812983968167484,0.09784205920715901,,0.013918470454207736,,0.4389353938613436,,,0.04403387983555401,,,,,,0.010121022999323064,,0.014017534300856902,,,
Bradfield,1.1355492525562476e-05,0.17016331721694544,,,,,,,,,,,,0.07833060801512719,,,0.0015443469834764967,0.11623524206545474,,,0.0032935134062103606,,0.42791575402152665,,,0.013388125687638159,,,,0.003392768822359722,0.16027142150578877,,0.003015093552435459,0.02243845323051145,,,
Brand,,0.5156507912470659,,0.021821761187249187,,,,,,0.0060876807753464076,,,0.01484061482547134,0.11039600212008784,,,,,,,0.010691300068145681,,0.21305368365260846,,,0.05262360869236011,,,,,,,,0.028787764064511244,,0.02604679336715378,
Brisbane,0.013701514675224279,0.29065732865806276,,,,0.00020647005331415853,,,,0.0005343930791660574,,,,0.2912008219092291,,,0.0004884521721626513,0.0002671965395830287,,,0.013789471269973711,0.34601372774147654,,,,0.02224472798608987,,,,,,,4.8581189015096124e-05,0.02084731472670274,,,
Bruce,0.0034598150984062165,0.39436220293800694,,,,,,,,0.0016107991605694516,5.671828030174125e-05,,,0.09566105155691679,,,,0.0019511088423798991,,,0.04400204185809086,,0.3330837729000057,,,0.042754239691452554,,,,,,,,0.08305824967386989,,,
Bullwinkel,0.006109194460122067,0.35305858181486144,,0.009703904171490502,,,,,,0.019991334670106848,,,0.005406962480656475,0.11595983278214392,,,0.0012757435490254904,0.017519013525350045,,,0.011095375232721695,,0.34127448202296995,,0.018493269273464247,0.04498498784955691,,,,,,,,0.030090645449297845,,0.025036672718232456,
Burt,,0.4953908758719965,,0.0394889823939763,,,,,,0.01743992913298638,,,,0.08880522644225446,,,0.001688628058908205,0.0027544015059240393,,,0.0016471044181153804,,0.258055586313808,,,0.04706012623186801,,,,,,,,0.024222123795814416,,0.023447015834348356,
Calare,,0.1484194212682844,,,,,,,,,,,,0.041812623399783456,,,,,,,,,,,0.48022418954206736,0.08313695518332166,,,,,0.20953017854489098,,,0.03687663206165213,,,
Calwell,,0.45791011024215583,,,,,,,,0.018015641194761144,,,,0.09870913031188165,,,,,,,0.00022613775558277585,,0.21965513992273628,,,0.06411005370771695,,,,,,,,0.08894751719589183,0.05242626966927353,,
