demographic,ALP,ALP_std,LNC,LNC_std,GRN,GRN_std,PHON,PHON_std,OTH,OTH_std,ALP 2pp,ALP 2pp_std,L-NP 2pp,L-NP 2pp_std
national,0.28958908045582077,0.04945645302875115,0.378483450045319,0.06224495793177566,0.12520023880144218,0.010594095679080257,0.09026609635169647,0.04520839524398782,0.11646113434572158,0.022079045052819574,0.486338859803764,0.012131125163225861,0.513661140196236,0.012131125163225866
nsw,0.27567365318872344,0.050213862647444915,0.3901537514849518,0.03484021462811867,0.11820872209961186,0.013086763830949847,0.05606175758687078,0.030570827120349277,0.15990211563984214,0.02449865478792875,0.4964835082547192,0.025117871689757314,0.5035164917452808,0.02511787168975731
qld,0.26396453526991503,0.06299754694195536,0.4167341909526247,0.08863158766434828,0.11243708099924939,0.047794648683077465,0.08215175408594055,0.006311418858567627,0.12471243869227033,0.029313496408407504,0.46086577297916376,0.0026534972035164297,0.5391342270208362,0.0026534972035164354
sa,0.31081245459349793,0.038492128836065835,0.3446059511320305,0.06916658782324157,0.1086165408300649,0.017656469240440967,0.08264472706345702,0.07137413761426836,0.1533203263809496,0.03561733228803795,0.5399453511247251,0.0023101164357393253,0.46005464887527503,0.00231011643573942
tas,0.273142225738894,0.00336790278326979,0.3146311665701522,0.048788912546523996,0.12008856804870098,0.0016959528077193124,0.04,0.0,0.2521380396422528,0.018156200084044914,0.5431110120805668,0.0025052579773757427,0.45688898791943316,0.0025052579773757427
victoria,0.2605760353528891,0.04552105249660634,0.38745882928180236,0.04999431095219594,0.13324370034909197,0.011646326047325297,0.05785186540311594,0.02576636484869808,0.16086956961310073,0.025483617465879977,0.5022776375848016,0.017260857995009204,0.49772236241519824,0.017260857995009187
wa,0.33773603015860537,0.07226491302055744,0.3693500288145491,0.019138674104208688,0.11516859550006159,0.021665618237666523,0.05042534314027681,0.017413753516955188,0.1273200023865071,0.01903686423586398,0.5478776223171339,0.003547508067652367,0.4521223776828661,0.0035475080676523668
100to150k,0.3336060543910255,0.10948711212235983,0.3745972525155803,0.13180281969459784,0.1281252961779121,0.04260176347980401,0.06813205300756743,0.014688035368416806,0.09553934390791463,0.03153936147450143,0.5286458938407854,0.1366876657745265,0.48639178187216425,0.1473847488141337
150kplus,0.34514789667753504,0.09947632414402038,0.4289635080105431,0.13919926179116024,0.10942446837908257,0.04090011853020902,0.05021815997787999,0.014035799549200858,0.06624596695495921,0.020830515643521955,0.49534497464167676,0.1359248090637741,0.5190819142587311,0.152252321019313
18to34,0.24843143795686018,0.10105692196034255,0.28056547055268255,0.07997645024764706,0.28980729451085235,0.06963136126677809,0.06408488662819549,0.014445219588004784,0.11711091035140953,0.03516553586448581,0.5765739561817573,0.14782207082312185,0.4305312322844361,0.10014960680090863
