demographic,ALP,ALP_std,LNC,LNC_std,GRN,GRN_std,PHON,PHON_std,OTH,OTH_std,ALP 2pp,ALP 2pp_std,L-NP 2pp,L-NP 2pp_std
national,-0.03641091954417922,0.04945645302875115,0.021483450045318996,0.06224495793177566,0.002200238801442182,0.010594095679080257,0.04026609635169646,0.04520839524398782,-0.027538865654278412,0.0459628842022274,-0.034661140196236014,0.012131125163225861,0.034661140196236014,0.012131125163225866
nsw,-0.05832634681127652,0.050213862647444915,0.0251537514849518,0.03484021462811867,0.018208722099611864,0.013086763830949847,0.008061757586870773,0.030570827120349277,0.006902115639842079,0.008094561638105824,-0.01751649174528081,0.025117871689757314,0.017516491745280815,0.02511787168975731
qld,-0.010035464730084938,0.06299754694195536,0.020734190952624677,0.08863158766434828,-0.016562919000750614,0.047794648683077465,0.023151754085940543,0.006311418858567627,-0.017287561307729668,0.050460293548753574,0.0008657729791637312,0.0026534972035164297,-0.0008657729791637437,0.0026534972035164354
sa,-0.03418754540650201,0.038492128836065835,-0.010394048867969475,0.06916658782324157,-0.019383459169935103,0.017656469240440967,0.034644727063457025,0.07137413761426836,0.029320326380949564,0.05848299358722597,-5.464887527500501e-05,0.0023101164357393253,5.46488752750099e-05,0.00231011643573942
tas,0.00014222573889397476,0.00336790278326979,-0.014368833429847738,0.048788912546523996,8.856804870098406e-05,0.0016959528077193124,0.0,0.0,0.014138039642252779,0.05215013776951568,0.00011101208056687964,0.0025052579773757427,-0.00011101208056687964,0.0025052579773757427
victoria,-0.06842396464711085,0.04552105249660634,0.05645882928180237,0.04999431095219594,-0.003756299650908004,0.011646326047325297,0.01985186540311594,0.02576636484869808,-0.004130430386899447,0.003697532016076341,-0.04572236241519831,0.017260857995009204,0.04572236241519824,0.017260857995009187
wa,-0.0302639698413946,0.07226491302055744,0.021350028814549137,0.019138674104208688,-0.009831404499938407,0.021665618237666523,0.010425343140276806,0.017413753516955188,0.008320002386507064,0.015105151751193514,-0.0021223776828661074,0.003547508067652367,0.002122377682866103,0.0035475080676523668
100to150k,-0.03227725483964583,0.14051163997749455,0.005971682249188204,0.17020144543474494,0.027543884526852955,0.053839749530510954,0.03719778435415073,0.01932678472494417,-0.038436096290546055,0.14326388204616325,0.025875264500944906,0.20541685571708043,0.024283383040697437,0.21681400021051064
150kplus,0.0030889512010575104,0.14212782521348377,0.07599950507042069,0.17329687808321412,-0.005355062577089287,0.05028250771857833,0.020515663771117493,0.01644488825557127,-0.09424905746550641,0.34315697079358715,-0.020639792464510476,0.18709575173408569,0.061897605113416354,0.2138179864434201
18to34,-0.1760509206113816,0.126952318695741,0.03800957619584783,0.09933378546735765,0.09760462611702189,0.08564007654271959,0.03783926009258966,0.016371757187129146,0.0025974582059222345,0.0024398554473243753,-0.05985157354863646,0.18964100920065058,0.08464996412106057,0.12460392051180737
35to49,-0.04363947424714604,0.11940910504645305,0.08656226924403221,0.1256276582919099,-0.001742543927161902,0.04513694358795187,0.03724929805764388,0.025228034760237675,-0.07842954912736816,0.14620422118765364,-0.05358457128645644,0.16035726031331637,0.08001090338354272,0.14912976817208085
50to64,-0.023390422706864977,0.11064128924318939,0.0595461296073026,0.13325869819366548,-0.015298540043581096,0.027047062698273887,0.03556963255604084,0.02622260212083198,-0.05642679941289737,0.12531943375132237,-0.02450207101115881,0.1471494538971539,0.056113087641451176,0.16357297739323512
50to99k,-0.07624811246081614,0.1306198684028434,0.04652911490121148,0.14898922926283506,0.03329107038507692,0.05475469482810332,0.04636818033490639,0.021747128144297124,-0.049940253160378645,0.08785111111563804,-0.014895100477528178,0.21207318943138878,0.061412996720668744,0.2003383271373106
65plus,-0.02418398480372952,0.09410075595754638,-0.00038946422273261616,0.16530478438078586,-0.006985623198478459,0.014172516007236062,0.019486291898446792,0.025260196117344053,0.012072780326493802,0.07067847662751908,-0.0014191304336679256,0.12010310873718918,0.026262317452528605,0.1883314247528288
christian,-0.0474066119119384,0.11645764717890521,0.05713490499790613,0.18360468288167284,0.004962829219442182,0.026207861329437934,0.040176385751376345,0.021765531049659018,-0.05486750805678626,0.12757722764365537,-0.04537085055765283,0.15703072030921592,0.06857926283485394,0.21872876935826613
englishonly,-0.05105421526697995,0.12149950943973642,0.050539112412816445,0.1510317798431802,0.019672303774129415,0.04800715946349834,0.02860637729308322,0.023623667260769383,-0.04776357821304913,0.10968301741805868,-0.014698253961002494,0.17796014067229593,0.05366391430517825,0.18275556960996572
female,-0.010165140656340166,0.11025740927773348,0.054083850735028194,0.12346918117685998,0.0036187094449031953,0.05249541920362708,0.042674827365705895,0.030508959397006246,-0.09021224688929712,0.25847981625397015,-0.04739608306004828,0.13529099579018586,0.11476078705495907,0.1264962404311909
male,-0.04255956791143595,0.10157471559968163,0.051505860542820026,0.12723819617333673,-0.0017487255194944956,0.03412885531196895,0.015192423750398323,0.023419113238596058,-0.022389990862287906,0.05775889704207092,-0.049131684291331745,0.12232347979725891,0.10953640757309274,0.14258706161440987
nonenglish,-0.06623320341775546,0.1584969688566629,0.019213550324116924,0.14707504982977637,0.047610793720035016,0.07353561962508788,0.06599100249855927,0.01616088475172331,-0.06658214312495575,0.1322181215618714,-0.09858636138567767,0.2084309709028367,0.12807249526790138,0.1631532539590982
noreligion,-0.06558976813543366,0.1362065922705195,0.04150274099213519,0.11583976129173465,0.037631335479236194,0.07571740622896092,0.033412642491109215,0.020746796440320316,-0.04695695082704694,0.09186772074760757,0.001981848979814349,0.2334621071133039,0.04694302918126858,0.17181684004484074
