DivisionNm,upto50k,50to99k,100to150k,150kplus,18to34,35to49,50to64,65plus,female,male,englishonly,nonenglish,christian,noreligion,notertiary,tafe,university
Adelaide,8373,45848,12289,8373,59300,40151,32571,30980,99379,98241,118480,70728,73789,79294,10953,36994,62592
Aston,4692,40902,10942,4692,36465,35976,34246,31176,88663,85205,120098,47927,73854,73058,8530,42557,40012
Ballarat,3633,31323,7298,3633,30996,28417,29649,30074,78509,74999,135537,9454,63161,74422,10617,38863,27887
Banks,6654,37160,10978,6654,37722,34563,33526,31298,89156,85468,88938,77425,92814,44530,10886,36905,41072
Barker,2811,33410,5666,2811,30444,29528,36691,39622,85087,86597,149959,10033,70460,81714,13539,44913,15615
Barton,6125,44762,12244,6125,58279,41754,33353,31246,101105,100871,69459,120710,89990,54217,14913,38068,56793
Bass,2168,22000,4183,2168,23949,19229,21592,22987,56024,53949,94958,9380,42654,54126,7694,27404,18389
Bean,8337,41653,17452,8337,34311,31899,27785,24435,77528,75080,116516,30360,65794,64152,6886,33323,44302
Bendigo,3160,32749,7315,3160,31033,28853,31646,34515,82194,78306,140996,9381,65007,78117,12259,40845,27746
Bennelong,17600,43948,18476,17600,48305,44232,32819,30541,99297,94829,102357,83702,86903,73511,10929,31164,78748
Berowra,14599,40528,17909,14599,35808,42230,36945,35120,99039,95425,117822,70850,90998,69441,9195,36895,68907
Blair,2744,40641,8106,2744,44624,37486,32205,26003,95955,93989,160014,18069,85874,81507,12503,52729,21362
Blaxland,1948,34630,6067,1948,62972,41092,33117,24689,101971,109518,50507,141173,66415,31698,20426,33928,37124
Bonner,7766,37057,12937,7766,33934,36502,29149,25280,83459,79425,121271,35899,79192,63213,7825,36728,42633
Boothby,7375,41453,12004,7375,38168,34002,32464,38240,91268,84355,138771,31529,71180,83137,8343,38978,50676
Bowman,5095,35648,9454,5095,28056,30427,32761,33300,81498,77727,141607,11835,78951,67660,8801,48362,24051
Braddon,1708,20822,3986,1708,20438,18291,23271,25247,56132,53421,99113,4341,42779,55814,8489,30132,11694
Bradfield,27053,36373,17787,27053,33974,43296,36577,34804,100555,93652,118710,70038,83601,81732,8222,25787,84292
Brand,4017,32267,9991,4017,36169,32367,27129,21735,78740,78508,127238,19521,61372,75486,11235,45134,16533
Brisbane,17763,47261,18232,17763,66399,40621,29021,19317,92237,91020,140323,33591,74005,84715,11872,34230,74145
Bruce,3475,41166,8622,3475,45873,40705,35944,29873,99077,99304,98705,88373,83822,51924,12901,44454,34902
Bullwinkel,6349,34530,11308,6349,30100,31668,34748,32628,81862,83327,140153,14507,69282,76320,11824,46386,24069
Burt,3317,38396,9090,3317,42661,40663,27310,21143,91576,89824,119593,51859,70109,68760,11473,45253,25063
Calare,4137,33718,9402,4137,33376,30179,32814,34315,85326,85649,149541,8221,95987,55251,15722,45627,22972
Calwell,1872,31736,5765,1872,47438,38140,27379,16018,89108,90004,63361,104056,73545,25171,11379,34144,28381
Canberra,13594,37682,18686,13594,47318,28736,23006,21885,74059,71449,105717,32031,47855,73716,8963,19235,65988
Canning,5609,26089,10151,5609,27326,27510,29439,32192,77346,73900,133060,9089,63670,72629,11720,44655,14458
Capricornia,6190,30639,10633,6190,34487,31303,30935,25293,78011,81784,135107,8144,79398,58100,17029,41242,16454
Casey,4847,38171,10159,4847,33292,33164,33930,29512,84780,83438,148679,12995,63282,90698,8873,48390,29654
Chifley,2083,36612,7442,2083,42981,38047,26448,19553,88558,86938,81663,81161,85462,30965,13267,31709,32860
Chisholm,14540,39070,14679,14540,44674,38141,35440,37060,99437,94707,104744,82420,76623,77220,10529,29769,73514
Clark,3615,25688,6147,3615,30946,20822,19626,20080,57059,54689,85174,21543,37665,56296,6791,22097,34863
Cook,10898,37408,13539,10898,30778,32062,29706,31451,80863,76676,124813,26615,92349,51756,9127,41954,36351
Cooper,8762,38609,13089,8762,44591,37851,28203,24093,84368,79862,105839,51184,61684,76424,9505,27776,56938
Corangamite,4736,31470,8704,4736,28850,27296,25286,30854,74111,69282,126511,10629,61325,68690,8741,37995,31166
Corio,5267,35865,9680,5267,40216,32955,30693,31278,87341,83914,138140,23550,75848,73592,11204,41992,33230
