DivisionNm,AJP,ALP,ASP,AUC,AUD,AUP,AUVA,CEC,CLP,CYA,DHJP,DPDA,GAP,GRN,HMP,IAP,IMO,IND,INF,JLN,KAP,LDP,LNP,LP,NAFD,NP,ON,REAS,SAL,SOPA,SPP,TEAL,TLOC,TNL,UAPP,VNS,WAP,XEN
Adelaide,190.03508771929825,33183.858262360394,,,,14.0,,,,618.1554225981707,,29.148148148148145,40.0,17965.938897435,,,,153.28236311844185,3607.9208128176388,,,54.722795113313396,,24824.178453101555,,4.09009009009009,2324.1316140568047,,,1030.8,,,,9.0,2312.8922517535616,,,154.0
Aston,205.0,28344.432432432433,,,,,,4.0,,77.0,143.0,,,10592.945945945947,,,,691.0,3468.5675675675675,,,1852.0,,35887.51351351351,,,2443.945945945946,,,,,,,705.0,5076.891891891892,,,
Ballarat,,34178.0,,,,,,,,548.0,,,,11035.0,,,,1540.0,4383.0,,,2640.0,,21008.0,,,2593.0,,,,,,,,3039.0,,,
Banks,,22225.0,,,,,,,,,,,,5453.0,,,,,5021.0,,,780.0,,30010.0,627.0,,2117.0,,,,,,,,3975.0,,,
Barker,,17825.46846846847,,,,,,,,629.9549549549549,,,,6247.774774774774,,,,4245.54954954955,6963.594594594595,,,,,45515.261261261265,,2023.7747747747749,5608.81981981982,,,,,,,,3604.864864864865,,,
Barton,,39984.0,,,,,,,,,,,,8374.0,,,,,7919.0,,,178.0,,26663.0,154.0,,3919.0,,,,,,,,5580.0,,,
Bass,791.8965517241379,16977.724137931033,,,,,,,,,,,,6645.896551724138,,,,2725.3793103448274,4114.310344827586,3944.551724137931,,639.8965517241379,,23454.793103448275,,,2825.862068965517,,,,,,,,1001.9310344827586,,,
Bean,,35633.348837209305,,,0.0,,,,,,,,,12159.558139534884,,,4.0,6627.232558139535,2589.3255813953488,,,29.046511627906977,,25152.39534883721,,,2277.093023255814,,,,7.0,,,,2427.093023255814,,,
Bendigo,,35232.65517241379,,,,,,6.0,,4.0,,,,11560.0,,,,3741.862068965517,3432.758620689655,,,2573.0,,21620.51724137931,,616.0,4565.931034482759,,,11.0,,,,,3093.0,,,
Bennelong,75.0,29286.222222222223,,,,,,,,,,638.0,,8919.407407407407,,,144.0,7649.407407407408,5661.407407407408,,,1176.4074074074074,,35782.01851851852,,,1332.0,,,1088.0,289.05555555555554,,,224.7037037037037,2528.0,,,
Berowra,31.0,25752.0,,,,,,,,409.0,,231.0,,15137.0,,,,4427.0,6142.0,,,1878.0,,46517.0,,,2679.0,,,1256.0,,,,,2608.0,,,
Blair,1691.0,30821.0,,,,,1491.0,,,13.0,,,,10774.0,,,,,5045.0,,,2159.0,24297.0,,,,8369.0,,,,,,,,5387.0,,,
Blaxland,272.0,29739.0,,,,,,,,,,,,3537.0,,,,549.0,8687.0,,,534.0,,14093.0,,,2253.0,,,32.0,,,,,4214.0,,,
Bonner,11.0,21156.0,,,,,,,,48.0,,,,12281.0,,,,,1813.0,,,,29688.0,,,,4069.0,,,,,,,,2329.0,,,
Boothby,975.9122807017544,30157.41403508772,,,,,,,,457.0,,,29.0,14244.273684210526,,,,837.0,4382.41052631579,,,879.561403508772,,34267.33245614035,,,1863.05,,,49.05,,5685.649122807017,,,2051.9622807017545,,,199.0
Bowman,,23132.0,,,,,,,,,,,,10266.0,,,,,2432.0,,,,32933.0,,,,5930.0,,,,,,,874.0,5381.0,,,
