DivisionNm,Surname,GivenNm
Clark,WILKIE,Andrew
Bradfield,BOELE,Nicolette
Calare,HOOK,Kate
Casey,FERRES MILES,Claire
Cowper,HEISE,Caz
Curtin,CHANEY,Kate
Flinders,SMITH,Ben
Goldstein,DANIEL,Zoe
Groom,HOLT,Suzie
Indi,HAINES,Helen
Kooyong,RYAN,Monique
Mackellar,SCAMPS,Sophie
Monash,LEONARD,Deb
Wannon,DYSON,Alex
Warringah,STEGGALL,Zali
Wentworth,SPENDER,Allegra
Montcrieff,ARROWSMITH,Nicole
Moore,BARTON,Nathan
Berowra,BROWN,Tina
Forrest,CHAPMAN,Sue
Sturt,COOPER,Verity
Franklin,GEORGE,Peter
Fisher,JONES,Keryn
Grey,KUSS,Anita
Lyne,MILLER,Jeremy
Farrer,MILTHORPE,Michelle
McPherson,MURRAY-BARTLETT,Erchana
Deakin,NESS,Jess
Bean,PRICE,Jessie
Riverina,ROLFE,Jenny
Solomon,SCOTT,Phil
Dickson,SMITH,Ellie
Fairfax,WIIG,Francine
