Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,Age 50-64,"1,446",39,35,6,7,,54,46,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,Age 50-64,"1,192",37,37,5,8,,51,49,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,Age 50-64,253,42,35,5,,,55,45,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,Age 50-64,251,45,31,9,,,59,41,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,Age 50-64,389,31,40,8,8,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,Age 50-64,397,31,40,8,8,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,Age 50-64,"1,192",35,38,6,8,,50,50,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,Age 50-64,251,36,35,10,,,53,47,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,Age 50-64,397,36,35,6,9,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,Age 50-64,381,27,37,9,11,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,Age 50-64,504,30,39,9,,,47,53,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,Age 50-64,916,33,40,7,7,,48,52,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,Age 50-64,395,34,38,6,9,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,Age 50-64,512,32,38,9,,,49,51,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,Age 50-64,381,25,42,9,11,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,Age 50-64,398,38,33,7,10,,,,50,50,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,Age 50-64,385,30,41,10,8,,,,45,55,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,Age 50-64,925,31,39,7,9,,47,53,,,
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,Age 50-64,383,35,36,9,7,,52,48,,,
"May 10, 2024","May 14, 2024",YouGov,Online,Age 50-64,375,32,39,9,10,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,Age 50-64,403,29,39,6,14,,,,44,56,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,Age 50-64,393,35,39,6,7,,49,51,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,Age 50-64,373,29,39,4,8,,,,43,57,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,Age 50-64,397,30,38,8,10,,,,47,53,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,Age 50-64,434,35,39,8,8,,,,50.2,49.8,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,Age 50-64,"1,262",30,43,6,8,,45,55,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,Age 50-64,504,30,43,6,,,44,56,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,Age 50-64,355,28,44,5,13,,44,56,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,Age 50-64,946,31,42,7,7,,46,54,,,
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,Age 50-64,504,34,44,3,,,45,55,,,
