Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,Age 65+,"1,427",35,46,3,5,,46,54,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,Age 65+,"1,176",31,46,3,7,,43,57,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,Age 65+,250,32,39,4,,,47,53,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,Age 65+,248,31,54,3,,,38,62,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,Age 65+,371,29,46,4,5,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,Age 65+,381,29,46,4,5,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,Age 65+,"1,176",34,47,3,6,,44,56,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,Age 65+,248,35,47,4,,,45,55,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,Age 65+,381,29,50,3,6,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,Age 65+,390,28,45,4,8,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,Age 65+,497,32,50,3,,,42,58,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,Age 65+,904,30,51,4,4,,41,59,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,Age 65+,376,27,54,3,6,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,Age 65+,504,29,53,3,,,39,61,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,Age 65+,372,28,53,1,7,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,Age 65+,373,29,49,3,6,,,,43,57,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,Age 65+,371,25,52,1,9,,,,33,67,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,Age 65+,913,33,51,2,4,,42,58,,,
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,Age 65+,378,32,52,2,7,,40,60,,,
"May 10, 2024","May 14, 2024",YouGov,Online,Age 65+,386,27,45,6,9,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,Age 65+,391,27,51,4,7,,,,38,62,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,Age 65+,387,31,50,3,6,,40,60,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,Age 65+,374,22,54,4,6,,,,34,66,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,Age 65+,386,26,53,4,6,,,,36,64,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,Age 65+,433,21,60,3,5,,,,28.3,71.7,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,Age 65+,"1,245",31,51,3,5,,40,60,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,Age 65+,497,31,51,3,,,40,60,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,Age 65+,424,25,47,3,8,,36,64,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,Age 65+,933,29,53,2,4,,38,62,,,
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,Age 65+,497,30,48,2,,,41,59,,,
