Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,Christian,"2,774",34,43,6,7,,47,53,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,Christian,"2,286",32,44,6,8,,45,55,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,Christian,728,30,47,8,7,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,Christian,683,30,47,8,7,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,Christian,"2,286",34,44,6,7,,46,54,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,Christian,683,27,48,5,9,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,Christian,687,25,45,7,10,,,,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,Christian,"1,757",31,45,6,8,,44,56,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,Christian,662,29,46,7,7,,,,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,Christian,668,31,44,7,8,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,Christian,706,31,49,7,6,,,,53,39,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,Christian,698,27,49,8,9,,,,55,42,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,Christian,"1,774",29,47,7,7,,42,58,,,
"May 10, 2024","May 14, 2024",YouGov,Online,Christian,740,27,46,7,10,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,Christian,702,26,49,5,10,,,,35,65,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,Christian,753,28,28,7,8,,41,59,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,Christian,665,27,46,5,7,,,,38,62,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,Christian,701,32,47,7,7,,,,41,59,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,Christian,764,27,48,9,8,,,,38,62,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,Christian,"2,420",28,48,6,8,,41,59,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,Christian,708,26,47,7,11,,39,61,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,Christian,"1,815",28,49,5,7,,40,60,,,
