Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Aug 17, 2022","Aug 21, 2022",Resolve Strategic,Online,Female,"1,005",41,26,13,5,,,,,,
"Sep 14, 2022","Sep 18, 2022",Resolve Strategic,Online,Female,803,40,31,13,5,,,,,,
"Oct 5, 2022","Oct 9, 2022",Resolve Strategic,Online,Female,802,38,28,15,5,,,,,,
"Oct 26, 2022","Oct 30, 2022",Resolve Strategic,Online,Female,805,39,31,14,4,,,,,,
"Nov 30, 2022","Dec 4, 2022",Resolve Strategic,Online,Female,805,41,30,13,4,,,,,,
"Dec 7, 2022","Dec 11, 2022",Essential Research,Online,Female,521,35,26,16,5,8,,,54,39,8
"Dec 16, 2022","Dec 18, 2022",Freshwater Strategy,Online,Female,604,37,33,15,3,,,,57,43,
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,Female,"2,920",38,33,13,7,,56,44,,,
"Jan 18, 2023","Jan 22, 2023",Resolve Strategic,Online,Female,805,43,27,12,8,,,,,,
"Jan 18, 2023","Jan 22, 2023",Essential Research,Online,Female,525,33,25,17,9,8,,,55,37,8
"Feb 1, 2023","Feb 6, 2023",Essential Research,Online,Female,500,32,27,19,6,6,,,56,38,6
"Feb 15, 2023","Feb 19, 2023",Resolve Strategic,Online,Female,802,41,31,12,5,,,,,,
"Feb 15, 2023","Feb 19, 2023",Essential Research,Online,Female,522,31,23,20,6,10,,,54,35,10
"Mar 1, 2023","Mar 4, 2023",Essential Research,Online,Female,571,30,30,15,6,8,,,50,42,8
"Mar 12, 2023","Mar 16, 2023",Resolve Strategic,Online,Female,800,38,31,15,6,,,,,,
"Mar 15, 2023","Mar 20, 2023",Essential Research,Online,Female,562,34,30,16,5,6,,,53,41,6
"Mar 29, 2023","Apr 2, 2023",Essential Research,Online,Female,567,31,26,16,7,6,,,55,37,8
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,Female,"2,406",36,34,12,8,,54,46,,,
"Apr 12, 2023","Apr 16, 2023",Essential Research,Online,Female,568,33,27,16,5,5,,,55,40,5
"Apr 12, 2023","Apr 16, 2023",Resolve Strategic,Online,Female,804,39,26,16,6,,,,,,
"Apr 26, 2023","Apr 30, 2023",Essential Research,Online,Female,565,33,31,16,5,7,,,54,39,7
"May 10, 2023","May 14, 2023",Essential Research,Online,Female,563,34,29,17,5,6,,,53,41,6
"May 10, 2023","May 14, 2023",Resolve Strategic,Online,Female,805,41,30,13,5,,,,,,
"May 15, 2023","May 17, 2023",Freshwater Strategy,Online,Female,502,36,32,14,4,,,,57,43,
"May 24, 2023","May 28, 2023",Essential Research,Online,Female,563,31,28,19,7,5,,,53,41,5
"Jun 6, 2023","Jun 11, 2023",Resolve Strategic,Online,Female,803,41,29,14,5,,,,,,
"Jun 7, 2023","Jun 11, 2023",Essential Research,Online,Female,562,31,28,18,6,6,,,53,41,6
"Jun 21, 2023","Jun 25, 2023",Essential Research,Online,Female,574,33,25,17,9,7,,,56,36,7
"Jul 5, 2023","Jul 9, 2023",Essential Research,Online,Female,"1,124",33,29,16,7,8,,,54,40,7
"Jul 12, 2023","Jul 15, 2023",Resolve Strategic,Online,Female,805,38,31,13,7,,,,,,
"Jul 19, 2023","Jul 23, 2023",Essential Research,Online,Female,575,30,31,17,6,7,,,51,43,6
"Aug 2, 2023","Aug 6, 2023",Essential Research,Online,Female,575,31,26,16,7,9,,,53,38,9
"Aug 9, 2023","Aug 12, 2023",Resolve Strategic,Online,Female,801,36,33,12,5,,,,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,Female,505,40,34,7,,,55,45,,,
"Aug 16, 2023","Aug 20, 2023",Essential Research,Online,Female,576,32,30,15,6,7,,,51,41,8
"Aug 30, 2023","Sep 3, 2023",Essential Research,Online,Female,576,31,30,16,6,8,,,52,40,8
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,Female,500,35,36,16,,,54,46,,,
"Sep 6, 2023","Sep 9, 2023",Resolve Strategic,Online,Female,802,36,31,15,6,,,,,,
"Sep 13, 2023","Sep 17, 2023",Essential Research,Online,Female,576,29,29,16,8,8,,,52,41,7
"Sep 22, 2023","Sep 24, 2023",Freshwater Strategy,Online,Female,501,30,36,16,8,,,,50,50,
"Sep 27, 2023","Oct 1, 2023",Essential Research,Online,Female,563,34,28,16,7,6,,,54,41,5
"Sep 22, 2023","Oct 4, 2023",Resolve Strategic,Online,Female,"2,364",37,30,14,5,,,,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,Female,792,31,35,19,6,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,Female,808,31,35,19,6,,,,,,
"Oct 25, 2023","Oct 29, 2023",Essential Research,Online,Female,575,29,34,11,7,8,,,45,47,8
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,Female,"2,406",37,32,15,6,,56,44,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,Female,500,32,34,16,,,54,46,,,
"Nov 1, 2023","Nov 5, 2023",Resolve Strategic,Online,Female,801,34,30,15,7,,,,,,
"Nov 8, 2023","Nov 12, 2023",Essential Research,Online,Female,575,33,30,14,7,6,,,52,42,6
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,Female,808,33,32,16,6,,,,,,
"Nov 22, 2023","Nov 26, 2023",Essential Research,Online,Female,576,26,34,15,8,8,,,45,47,8
"Nov 29, 2023","Dec 3, 2023",Resolve Strategic,Online,Female,802,35,32,15,6,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,Female,794,29,35,18,6,,,,,,
"Dec 6, 2023","Dec 10, 2023",Essential Research,Online,Female,551,34,29,16,4,6,,,53,40,6
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,Female,"1,005",32,33,15,,,54,46,,,
"Dec 15, 2023","Dec 17, 2023",Freshwater Strategy,Online,Female,554,32,36,16,,,,,53,47,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,Female,"1,849",30,36,16,6,,52,48,,,
"Jan 10, 2024","Jan 11, 2024",Freshwater Strategy,Online,Female,503,32,36,16,,,,,55,45,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,Female,810,29,36,14,8,,,,,,
"Jan 24, 2024","Jan 28, 2024",Essential Research,Online,Female,600,31,30,15,8,7,,,51,42,7
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,Female,"1,020",30,41,14,,,49,51,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,Female,802,30,34,16,9,,,,,,
"Feb 7, 2024","Feb 11, 2024",Essential Research,Online,Female,574,31,33,14,7,6,,,51,43,6
"Feb 16, 2024","Feb 18, 2024",Freshwater Strategy,Online,Female,525,32,35,17,,,,,56,44,
"Feb 21, 2024","Feb 24, 2024",Resolve Strategic,Online,Female,801,35,34,12,6,,,,,,
"Feb 23, 2024","Feb 26, 2024",Essential Research,Online,Female,600,28,31,13,8,7,,,48,45,7
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,Female,792,31,34,17,7,,,,50,50,
"Mar 7, 2024","Mar 10, 2024",Essential Research,Online,Female,563,31,31,12,8,7,,,48,46,7
"Mar 21, 2024","Mar 24, 2024",Resolve Strategic,Online,Female,805,34,31,15,6,,,,,,
"Mar 20, 2024","Mar 24, 2024",Essential Research,Online,Female,575,30,33,12,7,9,,,46,55,9
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,Female,816,32,37,13,8,,,,50,50,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,Female,"1,868",34,36,14,6,,53,47,,,
"Apr 3, 2024","Apr 7, 2024",Essential Research,Online,Female,582,28,31,16,5,8,,,49,43,8
"Apr 17, 2024","Apr 21, 2024",Resolve Strategic,Online,Female,805,30,33,14,6,,,,,,
"Apr 17, 2024","Apr 21, 2024",Essential Research,Online,Female,572,32,31,13,7,6,,,50,44,6
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,Female,765,33,37,13,7,,52,48,,,
"May 1, 2024","May 5, 2024",Essential Research,Online,Female,575,30,31,16,5,9,,,49,43,8
"May 10, 2024","May 14, 2024",YouGov,Online,Female,797,29,34,17,9,,,,,,
"May 15, 2024","May 19, 2024",Resolve Strategic,Online,Female,805,27,36,15,6,,,,,,
"May 15, 2024","May 19, 2024",Essential Research,Online,Female,574,29,29,12,9,9,,,46,47,6
"May 29, 2024","Jun 2, 2024",Essential Research,Online,Female,574,30,33,16,4,4,,,50,46,4
"May 31, 2024","Jun 4, 2024",YouGov,Online,Female,783,31,34,16,7,,,,53,47,
"Jun 11, 2024","Jun 16, 2024",Resolve Strategic,Online,Female,803,28,33,18,6,,,,,,
