Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Aug 17, 2022","Aug 21, 2022",Resolve Strategic,Online,Male,"1,006",42,30,11,5,,,,,,
"Sep 14, 2022","Sep 18, 2022",Resolve Strategic,Online,Male,804,38,32,7,7,,,,,,
"Oct 5, 2022","Oct 9, 2022",Resolve Strategic,Online,Male,802,40,32,10,5,,,,,,
"Oct 26, 2022","Oct 30, 2022",Resolve Strategic,Online,Male,806,39,33,12,5,,,,,,
"Nov 30, 2022","Dec 4, 2022",Resolve Strategic,Online,Male,806,44,31,8,4,,,,,,
"Dec 7, 2022","Dec 11, 2022",Essential Research,Online,Male,521,35,34,10,7,2,,,49,49,2
"Dec 16, 2022","Dec 18, 2022",Freshwater Strategy,Online,Male,605,37,41,10,5,,,,51,49,
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,Male,"2,851",37,36,10,6,,54,46,,,
"Jan 18, 2023","Jan 22, 2023",Resolve Strategic,Online,Male,806,42,31,10,5,,,,,,
"Jan 18, 2023","Jan 22, 2023",Essential Research,Online,Male,525,36,36,10,6,2,,,50,48,2
"Feb 1, 2023","Feb 6, 2023",Essential Research,Online,Male,500,34,32,14,6,5,,,54,42,5
"Feb 15, 2023","Feb 19, 2023",Resolve Strategic,Online,Male,802,40,32,9,5,,,,,,
"Feb 15, 2023","Feb 19, 2023",Essential Research,Online,Male,522,35,37,8,5,5,,,47,49,5
"Mar 1, 2023","Mar 4, 2023",Essential Research,Online,Male,570,34,35,9,7,6,,,47,47,6
"Mar 12, 2023","Mar 16, 2023",Resolve Strategic,Online,Male,800,41,29,11,5,,,,,,
"Mar 15, 2023","Mar 20, 2023",Essential Research,Online,Male,562,34,32,12,6,3,,,52,45,3
"Mar 29, 2023","Apr 2, 2023",Essential Research,Online,Male,566,35,33,12,5,4,,,50,48,2
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,Male,"2,350",39,34,9,6,,55,45,,,
"Apr 12, 2023","Apr 16, 2023",Essential Research,Online,Male,568,35,35,11,7,3,,,50,46,3
"Apr 12, 2023","Apr 16, 2023",Resolve Strategic,Online,Male,805,44,30,7,6,,,,,,
"Apr 26, 2023","Apr 30, 2023",Essential Research,Online,Male,565,33,33,13,5,4,,,53,44,4
"May 10, 2023","May 14, 2023",Essential Research,Online,Male,562,37,33,12,6,5,,,53,43,5
"May 10, 2023","May 14, 2023",Resolve Strategic,Online,Male,805,44,29,11,4,,,,,,
"May 15, 2023","May 17, 2023",Freshwater Strategy,Online,Male,503,32,41,10,6,,,,47,53,
"May 24, 2023","May 28, 2023",Essential Research,Online,Male,562,36,34,11,5,5,,,51,45,5
"Jun 6, 2023","Jun 11, 2023",Resolve Strategic,Online,Male,803,39,31,11,6,,,,,,
"Jun 7, 2023","Jun 11, 2023",Essential Research,Online,Male,561,34,36,13,4,5,,,51,44,5
"Jun 21, 2023","Jun 25, 2023",Essential Research,Online,Male,574,31,36,12,6,5,,,48,47,5
"Jul 5, 2023","Jul 9, 2023",Essential Research,Online,Male,"1,124",32,35,11,9,4,,,47,48,4
"Jul 12, 2023","Jul 15, 2023",Resolve Strategic,Online,Male,805,41,30,9,6,,,,,,
"Jul 19, 2023","Jul 23, 2023",Essential Research,Online,Male,575,31,34,11,9,5,,,49,47,4
"Aug 2, 2023","Aug 6, 2023",Essential Research,Online,Male,575,35,35,9,8,3,,,50,46,4
"Aug 9, 2023","Aug 12, 2023",Resolve Strategic,Online,Male,802,39,34,10,4,,,,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,Male,505,35,30,12,,,56,44,,,
"Aug 16, 2023","Aug 20, 2023",Essential Research,Online,Male,575,36,34,12,5,4,,,51,45,4
"Aug 30, 2023","Sep 3, 2023",Essential Research,Online,Male,575,32,34,13,7,4,,,50,47,3
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,Male,501,39,36,11,,,54,46,,,
"Sep 6, 2023","Sep 9, 2023",Resolve Strategic,Online,Male,802,37,38,9,4,,,,,,
"Sep 13, 2023","Sep 17, 2023",Essential Research,Online,Male,575,33,36,10,9,4,,,46,50,4
"Sep 22, 2023","Sep 24, 2023",Freshwater Strategy,Online,Male,502,37,39,10,5,,,,52,48,
"Sep 27, 2023","Oct 1, 2023",Essential Research,Online,Male,562,31,37,12,5,5,,,46,49,5
"Sep 22, 2023","Oct 4, 2023",Resolve Strategic,Online,Male,"2,364",36,32,10,9,,,,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,Male,727,34,39,11,7,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,Male,342,34,39,11,7,,,,,,
"Oct 25, 2023","Oct 29, 2023",Essential Research,Online,Male,574,34,34,9,7,3,,,52,45,3
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,Male,"2,350",35,38,10,6,,51,49,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,Male,501,36,36,11,,,53,47,,,
"Nov 1, 2023","Nov 5, 2023",Resolve Strategic,Online,Male,801,37,31,10,7,,,,,,
"Nov 8, 2023","Nov 12, 2023",Essential Research,Online,Male,575,31,39,10,7,3,,,46,51,3
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,Male,342,29,41,9,7,,,,,,
"Nov 22, 2023","Nov 26, 2023",Essential Research,Online,Male,575,35,37,11,6,3,,,51,46,3
"Nov 29, 2023","Dec 3, 2023",Resolve Strategic,Online,Male,803,35,36,9,5,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,Male,329,30,40,12,8,,,,,,
"Dec 6, 2023","Dec 10, 2023",Essential Research,Online,Male,551,28,40,9,8,3,,,44,52,3
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,Male,"1,005",34,38,10,,,51,49,,,
"Dec 15, 2023","Dec 17, 2023",Freshwater Strategy,Online,Male,555,31,42,10,,,,,47,53,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,Male,"1,806",37,36,10,7,,53,47,,,
"Jan 10, 2024","Jan 11, 2024",Freshwater Strategy,Online,Male,504,31,42,12,,,,,45,55,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,Male,722,35,37,12,6,,,,,,
"Jan 24, 2024","Jan 28, 2024",Essential Research,Online,Male,601,32,39,10,6,3,,,46,51,3
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,Male,"1,020",36,36,11,,,53,47,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,Male,700,32,39,12,7,,,,,,
"Feb 7, 2024","Feb 11, 2024",Essential Research,Online,Male,574,28,36,14,8,4,,,48,48,4
"Feb 16, 2024","Feb 18, 2024",Freshwater Strategy,Online,Male,524,31,42,10,,,,,46,54,
"Feb 21, 2024","Feb 24, 2024",Resolve Strategic,Online,Male,802,33,39,9,6,,,,,,
"Feb 23, 2024","Feb 26, 2024",Essential Research,Online,Male,601,33,40,12,6,2,,,46,52,2
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,Male,747,34,39,12,5,,,,50,50,
"Mar 7, 2024","Mar 10, 2024",Essential Research,Online,Male,563,33,38,10,8,3,,,48,49,3
"Mar 21, 2024","Mar 24, 2024",Resolve Strategic,Online,Male,805,31,40,11,4,,,,,,
"Mar 20, 2024","Mar 24, 2024",Essential Research,Online,Male,575,28,40,10,8,3,,,43,55,3
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,Male,697,32,40,13,7,,,,49,51,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,Male,"1,823",31,38,11,7,,50,50,,,
"Apr 3, 2024","Apr 7, 2024",Essential Research,Online,Male,583,31,37,12,7,3,,,47,49,4
"Apr 17, 2024","Apr 21, 2024",Resolve Strategic,Online,Male,805,29,38,12,5,,,,,,
"Apr 17, 2024","Apr 21, 2024",Essential Research,Online,Male,573,29,41,10,10,2,,,43,55,2
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,Male,765,34,38,10,7,,51,49,,,
"May 1, 2024","May 5, 2024",Essential Research,Online,Male,575,31,37,10,9,4,,,44,52,4
"May 10, 2024","May 14, 2024",YouGov,Online,Male,734,32,42,9,7,,,,,,
"May 15, 2024","May 19, 2024",Resolve Strategic,Online,Male,805,31,36,10,7,,,,,,
"May 15, 2024","May 19, 2024",Essential Research,Online,Male,575,33,40,8,7,4,,,45,51,4
"May 29, 2024","Jun 2, 2024",Essential Research,Online,Male,575,33,40,8,7,3,,,46,51,3
"May 31, 2024","Jun 4, 2024",YouGov,Online,Male,717,29,41,11,10,,,,44,56,
