Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"May 21, 2022",,Election,,NAT,,32.6,35.7,12.3,5,,52.1,47.9,,,
"Jun 13, 2022","Jun 19, 2022",Roy Morgan,Online/Phone,NAT,"1,401",36,37,11,4,,53,47,,,
"Jul 27, 2022","Jul 30, 2022",Newspoll/YouGov,Online,NAT,"1,508",37,33,12,6,,56,44,,,
"Aug 8, 2022","Aug 14, 2022",Roy Morgan,Online/Phone,NAT,"1,400",36.5,39,11.5,4,,,,53,47,
"Aug 15, 2022","Aug 21, 2022",Roy Morgan,Online/Phone,NAT,"1,400",37.5,38.5,11.5,2.5,,,,52.7,47.3,
"Aug 17, 2022","Aug 21, 2022",Resolve Strategic,Online,NAT,"2,011",42,28,12,5,,,,,,
"Aug 22, 2022","Aug 28, 2022",Roy Morgan,Online/Phone,NAT,"1,400",36,40,10.5,3.5,,,,52,48,
"Aug 29, 2022","Sep 4, 2022",Roy Morgan,Online/Phone,NAT,"1,400",36,36.5,12,4,,,,53.5,46.5,
"Aug 31, 2022","Sep 3, 2022",Newspoll/YouGov,Online,NAT,"1,505",37,31,13,7,,57,43,,,
"Sep 5, 2022","Sep 11, 2022",Roy Morgan,Online/Phone,NAT,"1,400",36.5,37.5,12,4,,,,53.6,46.4,
"Sep 12, 2022","Sep 18, 2022",Roy Morgan,Online/Phone,NAT,"1,400",37,36,12,4,,,,54.7,45.3,
"Sep 14, 2022","Sep 18, 2022",Resolve Strategic,Online,NAT,"1,607",39,32,10,6,,,,,,
"Sep 19, 2022","Sep 25, 2022",Roy Morgan,Online/Phone,NAT,"1,400",36.5,36.5,12,3,,,,54.5,45.5,
"Sep 26, 2022","Oct 2, 2022",Roy Morgan,Online/Phone,NAT,"1,400",38,37,11,3.5,,,,55,45,
"Oct 3, 2022","Oct 9, 2022",Roy Morgan,Online/Phone,NAT,"1,400",37,37.5,10.5,3.5,,,,54.9,45.1,
"Oct 5, 2022","Oct 9, 2022",Resolve Strategic,Online,NAT,"1,604",39,30,12,5,,,,,,
"Oct 10, 2022","Oct 16, 2022",Roy Morgan,Online/Phone,NAT,"1,400",37.5,36.5,11.5,4,,,,54.8,45.2,
