Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,LOTE,709,40,30,17,3,,61,39,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,LOTE,584,39,32,14,3,,58,42,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,LOTE,124,40,24,19,,,64,36,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,LOTE,123,45,39,7,,,54,46,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,LOTE,220,33,34,19,5,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,LOTE,223,33,34,19,5,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,LOTE,584,42,30,13,6,,59,41,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,LOTE,123,38,29,14,,,58,42,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,LOTE,223,27,46,15,5,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,LOTE,223,32,32,18,7,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,LOTE,247,42,25,17,,,64,36,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,LOTE,449,40,30,14,4,,60,40,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,LOTE,242,38,33,18,3,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,LOTE,251,44,29,16,,,62,38,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,LOTE,201,39,22,23,4,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,LOTE,"1,325",31,37,15,6,,,,49,51,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,LOTE,478,24,42,14,9,,,,45,55,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,LOTE,453,36,34,14,6,,55,45,,,
"May 10, 2024","May 14, 2024",YouGov,Online,LOTE,257,30,42,16,6,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,LOTE,"1,278",30,38,13,9,,,,48,52,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,LOTE,193,38,35,13,7,,55,45,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,LOTE,"1,257",28,36,12,7,,,,48,52,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,LOTE,259,37,26,22,6,,,,60,40,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,LOTE,269,35,25,26,7,,,,65.2,34.8,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,LOTE,619,33,36,13,7,,52,48,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,LOTE,247,32,37,17,,,51,49,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,LOTE,251,36,25,21,9,,55,45,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,LOTE,464,36,32,15,8,,46,54,,,
