Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,No religion,"1,606",40,27,17,5,,62,38,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,No religion,"1,324",43,25,15,6,,64,36,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,No religion,689,35,26,21,5,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,No religion,749,35,26,21,5,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,No religion,"1,324",37,28,18,5,,60,40,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,No religion,749,35,27,19,4,,,,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,No religion,581,29,48,7,4,,,,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,No religion,444,36,37,9,6,,,,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,No religion,422,30,23,21,10,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,No religion,728,31,32,22,5,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,No religion,585,25,49,8,5,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,No religion,481,31,39,11,8,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,No religion,361,33,24,23,9,,,,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,No religion,"1,017",36,28,19,5,,60,40,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,No religion,729,35,28,19,6,,,,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,No religion,698,32,30,20,8,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,No religion,711,33,27,21,6,,,,58,42,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,No religion,672,35,29,18,6,,,,60,40,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,No religion,"1,027",36,28,18,6,,60,40,,,
"May 10, 2024","May 14, 2024",YouGov,Online,No religion,672,34,30,19,7,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,No religion,666,35,27,21,7,,,,60,40,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,No religion,436,37,37,17,7,,59,41,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,No religion,731,31,27,18,7,,,,58,42,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,No religion,699,32,28,18,8,,,,55,45,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,No religion,722,33,30,18,6,,,,59.4,40.6,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,No religion,"1,401",36,30,18,5,,59,41,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,No religion,679,32,30,18,9,,57,43,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,No religion,"1,051",35,31,17,6,,58,42,,,
