Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"May 21, 2022",,Election,,NSW,,33.4,36.5,10,4.8,,51.4,48.6,,,
"Aug 17, 2022","Aug 21, 2022",Resolve Strategic,Online,NSW,639,42,29,11,5,,,,,,
"Sep 14, 2022","Sep 18, 2022",Resolve Strategic,Online,NSW,510,41,29,9,7,,,,,,
"Oct 5, 2022","Oct 9, 2022",Resolve Strategic,Online,NSW,509,39,32,12,6,,,,,,
"Oct 26, 2022","Oct 30, 2022",Resolve Strategic,Online,NSW,512,41,32,10,6,,,,,,
"Nov 30, 2022","Dec 4, 2022",Resolve Strategic,Online,NSW,512,38,35,12,5,,,,,,
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,NSW,"1,817",38,35,11,6,,55,45,,,
"Jan 18, 2023","Jan 22, 2023",Resolve Strategic,Online,NSW,512,40,31,10,8,,,,,,
"Feb 15, 2023","Feb 19, 2023",Resolve Strategic,Online,NSW,509,41,31,10,6,,,,,,
"Mar 12, 2023","Mar 16, 2023",Resolve Strategic,Online,NSW,508,39,35,11,5,,,,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,NSW,"1,414",38,35,10,7,,55,45,,,
"Apr 12, 2023","Apr 16, 2023",Resolve Strategic,Online,NSW,511,43,30,9,6,,,,,,
"May 10, 2023","May 14, 2023",Resolve Strategic,Online,NSW,511,46,30,9,5,,,,,,
"Jun 6, 2023","Jun 11, 2023",Resolve Strategic,Online,NSW,510,39,33,10,6,,,,,,
"Jul 12, 2023","Jul 15, 2023",Resolve Strategic,Online,NSW,511,39,32,10,9,,,,,,
"Aug 9, 2023","Aug 12, 2023",Resolve Strategic,Online,NSW,509,42,34,11,4,,,,,,
"Sep 6, 2023","Sep 9, 2023",Resolve Strategic,Online,NSW,509,39,36,8,6,,,,,,
"Sep 22, 2023","Oct 4, 2023",Resolve Strategic,Online,NSW,"1,502",34,32,13,8,,,,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,NSW,453,30,37,15,5,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,NSW,501,30,37,15,5,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,NSW,"1,414",38,34,13,5,,56,44,,,
"Nov 1, 2023","Nov 5, 2023",Resolve Strategic,Online,NSW,509,37,31,14,6,,,,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,NSW,501,31,35,13,8,,,,,,
"Nov 29, 2023","Dec 3, 2023",Resolve Strategic,Online,NSW,510,35,35,12,5,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,NSW,486,27,42,15,6,,,,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,NSW,"1,139",32,37,13,7,,51,49,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,NSW,473,30,38,14,7,,,,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,NSW,472,31,34,16,7,,,,,,
"Feb 21, 2024","Feb 24, 2024",Resolve Strategic,Online,NSW,509,34,37,10,4,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,NSW,490,30,39,13,8,,,,46,54,
"Mar 21, 2024","Mar 24, 2024",Resolve Strategic,Online,NSW,511,33,35,11,6,,,,,,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,NSW,461,27,38,13,9,,,,44,56,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,NSW,"1,152",32,38,12,7,,50,50,,,
"Feb 1, 2024","May 26, 2024",Accent/RedBridge,Online,NSW,"1,306",33,37,11,,,,,,,
"Apr 17, 2024","Apr 21, 2024",Resolve Strategic,Online,NSW,511,31,35,11,6,,,,,,
"May 10, 2024","May 14, 2024",YouGov,Online,NSW,488,28,40,11,11,,,,,,
"May 15, 2024","May 19, 2024",Resolve Strategic,Online,NSW,511,31,35,10,7,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,NSW,496,31,39,12,9,,,,48,52,
"Jun 11, 2024","Jun 16, 2024",Resolve Strategic,Online,NSW,510,29,37,12,5,,,,,,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,NSW,"1,567",33,40,11,6,,49,51,,,
"Jul 9, 2024","Jul 14, 2024",Resolve Strategic,Online,NSW,509,27,39,13,6,,,,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,NSW,476,30,38,12,6,,,,46,54,
"Aug 7, 2024","Aug 11, 2024",Resolve Strategic,Online,NSW,510,29,39,12,4,,,,,,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,NSW,513,29,37,16,8,,,,50,50,
"Jul 10, 2024","Aug 27, 2024",Accent/RedBridge,Online,NSW,"1,932",31,39,11,,,,,,,
"Sep 3, 2024","Sep 7, 2024",Resolve Strategic,Online,NSW,513,30,37,12,6,,,,,,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,NSW,491,33,35,13,8,,,,51.9,48.1,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,NSW,"1,592",30,38,12,7,,49,51,,,
"Oct 1, 2024","Oct 5, 2024",Resolve Strategic,Online,NSW,510,31,39,10,5,,,,,,
"Nov 5, 2024","Nov 9, 2024",Resolve Strategic,Online,NSW,515,30,38,10,6,,,,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,NSW,461,29,36,15,11,,50,50,,,
"Dec 4, 2024","Dec 8, 2024",Resolve Strategic,Online,NSW,509,27,38,13,9,,,,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,NSW,"1,193",32,40,10,7,,50,50,,,
"Jan 15, 2025","Jan 21, 2025",Resolve Strategic,Online,NSW,513,27,39,13,5,,,,,,
