Start Date,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"May 21, 2022",,Election,,WA,,36.8,34.8,12.5,4,,55,45,,,
"Oct 5, 2022","Dec 4, 2022",Resolve Strategic,Online,WA,450,38,30,14,4,,,,,,
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,WA,575,39,34,9,7,,55,45,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,WA,474,40,33,11,6,,57,43,,,
"Mar 12, 2023","May 14, 2023",Resolve Strategic,Online,WA,480,46,29,12,3,,,,,,
"Apr 12, 2023","Jun 11, 2023",Resolve Strategic,Online,WA,450,46,29,12,3,,,,,,
"Jul 12, 2023","Sep 9, 2023",Resolve Strategic,Online,WA,480,34,35,13,3,,,,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,WA,166,36,30,22,5,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,WA,155,36,30,22,5,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,WA,474,38,38,10,6,,53,47,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,WA,155,24,44,10,10,,,,,,
"Sep 22, 2023","Oct 4, 2023",Resolve Strategic,Online,WA,791,34,37,13,2,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,WA,150,38,36,14,7,,,,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,WA,364,37,37,11,5,,54,46,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,WA,135,38,32,9,9,,,,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,WA,147,24,45,12,8,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,WA,145,38,38,12,4,,,,50,50,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,WA,149,35,38,15,6,,,,53,47,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,WA,368,34,39,8,6,,49,51,,,
"Feb 1, 2024","May 26, 2024",Accent/RedBridge,Online,WA,392,35,35,13,,,,,,,
"Feb 2, 2024","Apr 21, 2024",Resolve Strategic,Online,WA,450,32,35,13,6,,,,,,
"May 10, 2024","May 14, 2024",YouGov,Online,WA,155,31,36,18,4,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,WA,153,41,33,10,7,,,,55,45,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,WA,156,34,37,11,5,,52,48,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,WA,160,33,35,12,4,,,,54,46,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,WA,154,38,38,12,7,,,,53,47,
"Jul 10, 2024","Aug 27, 2024",Accent/RedBridge,Online,WA,580,36,38,12,,,,,,,
"Jul 9, 2024","Sep 7, 2024",Resolve Strategic,Online,WA,460,29,35,16,5,,,,,,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,WA,169,31,37,16,4,,,,52,48,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,WA,502,36,39,11,4,,52,48,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,WA,157,41,35,9,6,,59,41,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,WA,376,38,37,11,5,,54,46,,,
"Oct 1, 2024","Dec 8, 2024",Resolve Strategic,Online,WA,460,30,37,12,5,,,,,,
